Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber
1,1.0,FUN ELITE (J042),P N Wong,T P Yung,124,1151,5,-,3 3 1,1:09.98,2.8,2025/01/01,ST,1
2,8.0,ALWAYS MY FOLKS (J345),B Thompson,C W Chang,124,1087,3,1-1/4,4 4 2,1:10.20,45,2025/01/01,ST,1
3,2.0,RIDING HIGH (J403),M Chadwick,A S Cruz,131,1091,4,2,2 2 3,1:10.30,8.9,2025/01/01,ST,1
4,5.0,SAVVY TWINKLE (K067),H Bentley,F C Lor,128,1100,9,2-1/4,8 7 4,1:10.34,5.8,2025/01/01,ST,1
5,7.0,HAPPY HOLIDAY (J240),K Teetan,K H Ting,125,1211,2,3,6 8 5,1:10.48,14,2025/01/01,ST,1
6,12.0,ALMIGHTY KICK (J254),C Y Ho,K W Lui,120,1080,10,3-3/4,10 10 6,1:10.57,17,2025/01/01,ST,1
7,10.0,SPICY SPANGLE (J087),E C W Wong,P C Ng,117,1067,7,5-1/4,1 1 7,1:10.83,4.9,2025/01/01,ST,1
8,4.0,NOBLE GO (K053),B Avdulla,J Size,128,1155,6,5-1/2,7 6 8,1:10.86,20,2025/01/01,ST,1
9,3.0,LITTLE SQUID (K050),M F Poon,P F Yiu,128,1087,8,5-1/2,9 9 9,1:10.88,91,2025/01/01,ST,1
10,6.0,SHOTGUN (K111),H Bowman,D J Hall,128,1072,1,7,5 5 10,1:11.10,6.4,2025/01/01,ST,1
11,11.0,SPORTIC WARRIOR (J385),M L Yeung,K L Man,123,1078,12,8-3/4,11 11 11,1:11.38,120,2025/01/01,ST,1
WV-A,9.0,BROTHER CHENG (J046),Y L Chung,C H Yip,121,---,---,---,---,---,---,2025/01/01,ST,1
1,7.0,CHILLI BABA (G339),L Ferraris,P F Yiu,128,1188,7,-,13 13 13 13 1,1:49.18,9.8,2025/01/01,ST,2
2,5.0,ON THE LASH (J182),A Atzeni,P C Ng,131,1210,11,3/4,6 6 2 2 2,1:49.32,10,2025/01/01,ST,2
3,13.0,RED MAVERICK (J067),Y L Chung,Y S Tsui,114,1230,5,1-1/2,3 4 4 3 3,1:49.42,15,2025/01/01,ST,2
4,6.0,SUPER HONG KONG (D241),K Teetan,C H Yip,130,1043,10,1-3/4,12 12 11 9 4,1:49.45,14,2025/01/01,ST,2
5,2.0,SMASHING EXPRESS (J252),A Hamelin,J Size,135,1059,1,2,10 11 12 10 5,1:49.49,6.7,2025/01/01,ST,2
6,3.0,GLUCK RACER (E157),H Bentley,W K Mo,132,1151,2,2-3/4,11 10 10 12 6,1:49.63,16,2025/01/01,ST,2
7,1.0,GO GO GO (H196),Z Purton,W Y So,135,1128,13,3,5 1 1 1 7,1:49.65,6.6,2025/01/01,ST,2
8,10.0,CHATEAU LE PECHE (H471),M F Poon,K H Ting,127,1045,9,3-3/4,4 5 6 7 8,1:49.80,10,2025/01/01,ST,2
9,12.0,TURTLE AGAIN (H083),H Bowman,T P Yung,125,1211,3,8-1/4,9 8 8 5 9,1:50.50,4.5,2025/01/01,ST,2
10,14.0,JOYFUL CHAMPION (G072),M Chadwick,C W Chang,115,1182,8,10,8 9 9 11 10,1:50.76,21,2025/01/01,ST,2
11,11.0,GOLDEN FAIRY (E448),A Badel,W Y So,125,1037,4,10-1/2,2 2 3 4 11,1:50.88,8.4,2025/01/01,ST,2
12,9.0,NICE BIRDIE (G470),B Avdulla,C S Shum,128,1230,6,15-1/2,7 7 7 8 12,1:51.65,34,2025/01/01,ST,2
13,4.0,MARIO (J100),M L Yeung,D J Hall,132,1174,12,24,1 3 5 6 13,1:53.02,83,2025/01/01,ST,2
WV,8.0,FAMILY FORTUNE (H447),E C W Wong,C Fownes,121,---,---,---,---,---,---,2025/01/01,ST,2
1,1.0,THE BOOM BOX (K076),C Y Ho,W Y So,131,1142,10,-,12 9 1,1:09.67,2.3,2025/01/01,ST,3
