Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,12,DOUBLE POINT  (S246),N Callan,TT1,"Jumped only fairly, ridden to 3rd on rails within striking distance, soon came under pressure to challenge upon straightening, fought on hard to claim race final strides.",2016-01-01,1
2,11,BE THERE AHEAD  (S193),K C Leung,B,"Settled towards the rear, switched out for a clear run over 300 metres out, ran on well down the centre of the track to just fail to get up on line.",2016-01-01,1
3,1,AMBITIOUS SPEEDY  (T063),H W Lai,B,"Travelled wide in midfield after beginning from the widest gate, remained same into straight, ran on steadily near the centre of the track to be closest at finish.",2016-01-01,1
4,5,JIMSON THE FAMOUS  (T253),Z Purton,B1/TT,"Soon took up running and attempted to make all, unable to sustain effort and headed closing stages.",2016-01-01,1
5,13,HOLY STAR  (T068),J Moreira,H/B2/TT,"Jumped fairly from a middle gate and travelled in midfield, produced good late impression in the run home.",2016-01-01,1
6,3,GOLDWEAVER  (P072),C Y Ho,P,"Given reminders to be close up early disputing lead around the bend, one-paced without quickening in home straight.",2016-01-01,1
7,4,GROOVY  (CL401),N Rawiller,--,"Slightly slow out, soon picked up to forward of midfield on rails sharing 5th some 3L back around home bend, angled off rails to challenge entering straight, ran home one-paced.",2016-01-01,1
8,10,TRIBAL GLORY  (S395),G Mosse,B/H2,"Moderate start, settled just worse than midfield on rails, remained similar turning in, ran home one-paced.",2016-01-01,1
9,8,BERNARD'S CHOICE  (N156),R Fourie,H/V/TT,"Taken well behind from a poor draw, joint last into straight, made up good ground passing beaten runners.",2016-01-01,1
10,6,CIRCUIT STAR  (N220),H N Wong,TT,"Hard ridden in midfield from the start, gained slightly closer when pace slackened around home bend, soon faded out of contention after straightening.",2016-01-01,1
11,14,EVER SHINY  (S214),C Schofield,B/E,"Travelled towards the rear most of way and wide around home bend, ran home one-paced.",2016-01-01,1
12,2,SOUTHERN SPRINGS  (P139),Y T Cheng,B/TT,"Jumped well from a wide gate, briefly in front before shifting to over 2L back in 4th, dropped out tamely inside final 300 metres.",2016-01-01,1
13,7,FORTUNE TERRITORY  (N272),C K Tong,B/TT,"Taken back from a wide draw, raced keenly in last few, found nothing in straight.",2016-01-01,1
14,9,DRAGON GLORY  (P130),D Whyte,B/TT,"Missed the break, joined other back-markers approaching home bend, found nothing in home straight.",2016-01-01,1
1,11,FOREST COLOURS  (P167),J Moreira,B,"Pressed forward, sat just off the lead 2 wide, not suited by the fast sectionals, closed off strongly 300M to score.",2016-01-01,2
2,9,SWEET BEAN  (S205),V Cheminaud,B,"Took rail at back, favoured by the fast pace, made steady ground 300M for 2nd.",2016-01-01,2
3,2,ENCHANTING DIAMOND  (S136),D Whyte,B,"Settled in midfield, 2 wide, benefited by the fast tempo, progressed steadily 400M, run ended 100M.",2016-01-01,2
4,8,MY CUP OVERFLOWS  (P378),C Schofield,B,"Pressed forward, 2 wide, not suited by the fast sectionals, held ground in straight.",2016-01-01,2
5,10,RUGBY AMBASSADOR  (S314),K C Leung,CP-/XB2/TT,"Pushed to maintain a prominent spot on the rails, harmed by the fast pace, held ground in straight.",2016-01-01,2
6,13,GLORIOUS VICTORY  (S369),Y T Cheng,B/TT,"Hard ridden early but not muster, behind midfield, benefited by the fast tempo, lack room 400M, made steady ground when clear.",2016-01-01,2
7,6,SPICY SIAM  (N090),C Y Ho,B-/TT,"Hard ridden early, at back along the fence, favoured by the fast pace, lack room 4-2, made ground when clear.",2016-01-01,2
8,1,HIGH SPEED METRO  (P293),Z Purton,XB,"Eased back, 2-3 wide, benefited by the fast tempo, made ground 350M, run ended 200M.",2016-01-01,2
9,7,MIGHTY WONGCHOY  (S050),G Mosse,B-,"In front of midfield, 2 wide, flattened in straight.",2016-01-01,2
10,12,TELECOM PRINCE  (P017),M L Yeung,B,"Eased back, 2 wide, suited by the fast pace, checked badly 400M, no progress.",2016-01-01,2
11,5,GOLD TARTINI  (N070),N Rawiller,B,"Eased to rear, favoured by the fast tempo, bumped 400M, no turn of foot.",2016-01-01,2
12,3,LE PEGASE  (T280),H W Lai,H/V,"Pushed to hold the rail in front of midfield, no dash.",2016-01-01,2
