Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,Score range
1,2.0,CHATER ROCK (S223),K Teetan,D E Ferraris,129,1024,5,-,2 1 1,0:58.04,9.4,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
2,1.0,BULLISH SMART (S221),M Chadwick,A S Cruz,129,1074,4,1-1/2,3 2 2,0:58.28,2.3,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
3,8.0,SUCCESS AND GOLD (S049),A Suborics,C H Yip,129,1065,8,5-1/2,5 6 3,0:58.94,93.0,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
4,6.0,MANIPULATION (S075),K C Ng,A S Cruz,124,1160,7,6-1/4,7 4 4,0:59.05,3.6,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
5,3.0,EXAGGERATION (S226),J Moreira,J Moore,129,1105,3,8,4 5 5,0:59.31,7.1,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
6,7.0,SENSIBLE CHOICE (S048),Z Purton,T P Yung,129,1065,6,8-3/4,1 3 6,0:59.44,24.0,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
7,5.0,JUST ACE (S005),C Y Ho,Y S Tsui,127,1092,2,10,6 7 7,0:59.64,5.2,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
8,4.0,FRESH AND FRESH (P407),N Callan,P F Yiu,129,1063,1,13-3/4,8 8 8,1:00.24,52.0,2014/03/23,ST,1,Griffin Race,1000M,GOOD,"TURF - ""C+3"" Course",13.56,35.04,58.04,,,,13.56,21.48,23.00,nan,nan,nan,
1,2.0,BEAUTY KING (N028),J Moreira,A S Cruz,132,1064,5,-,1 1 1 1,1:23.51,5.5,2014/03/23,ST,2,Class 5,1400M,GOOD,"TURF - ""C+3"" Course",13.72,36.08,59.58,1:23.51,,,13.72,22.36,23.50,23.93,nan,nan,40-15
2,3.0,SOLAR DRAGON (P136),N Callan,C W Chang,132,1105,3,1,4 4 5 2,1:23.67,2.5,2014/03/23,ST,2,Class 5,1400M,GOOD,"TURF - ""C+3"" Course",13.72,36.08,59.58,1:23.51,,,13.72,22.36,23.50,23.93,nan,nan,40-15
