Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,2.0,ROCK THE TREE (P272),B Prebble,D E Ferraris,133,1056,11,-,12 12 11 12 1,2:03.16,9.7,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
2,9.0,HIGH SPEED METRO (P293),K C Leung,L Ho,119,1169,12,3/4,11 10 10 4 2,2:03.31,10.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
3,13.0,WIN CHANCE (P415),M L Yeung,A Lee,112,1026,2,4,7 7 7 2 3,2:03.82,17.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
4,11.0,LOYAL CRAFTSMAN (S354),S Clipperton,D E Ferraris,120,1080,13,4-1/2,13 13 13 9 4,2:03.88,8.3,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
5,1.0,CHOICE EXCHEQUER (P088),A Badel,C H Yip,133,1209,3,5-1/2,1 1 1 1 5,2:04.03,15.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
6,4.0,SWEET BEAN (S205),N Callan,C Fownes,128,1031,7,5-3/4,8 8 8 10 6,2:04.10,22.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
7,3.0,TELEPHATIA (P405),Z Purton,A Lee,130,1077,8,6,10 9 9 7 7,2:04.13,7.9,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
8,5.0,KERKENI (T053),O Doleuze,R Gibson,127,1053,5,6-1/4,9 11 12 11 8,2:04.16,12.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
9,8.0,GLAMOROUS RYDER (S007),S De Sousa,D E Ferraris,123,1098,6,8,6 6 6 6 9,2:04.45,18.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
10,12.0,VIVACIOUS WINNER (V061),K K Chiong,D Cruz,109,1193,4,9-3/4,5 5 5 8 10,2:04.73,14.0,2017/01/01,ST,1,Class 5,2000M,40-0,GOOD TO FIRM,"TURF - ""B+2"" Course",25.72,49.00,1:13.68,1:38.20,2:03.16,,25.72,23.28,24.68,24.52,24.96,nan
