Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,7.0,RICHCITY FORTUNE (V088),K H Chan,K H Ting,113,1144,10,-,1 1 1,1:09.62,4.3,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
2,4.0,BIG BULLY (B028),N Callan,D J Hall,127,1136,6,HD,8 9 2,1:09.66,18,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
3,9.0,NASHASHUK (V143),J Moreira,J Size,116,1095,1,N,3 3 3,1:09.67,10,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
4,1.0,LIVERBIRD STAR (A405),K C Leung,P O'Sullivan,133,1169,3,1/2,4 4 4,1:09.72,15,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
5,6.0,ADONIS (A324),T H So,L Ho,121,1048,7,1-1/2,11 10 5,1:09.84,10,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
6,2.0,ROYAL PREROGATIVE (B061),M Harley,A T Millard,122,1052,4,1-1/2,6 5 6,1:09.86,16,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
7,5.0,M REBORN (A046),G van Niekerk,C H Yip,126,1203,2,3-3/4,9 7 7,1:10.21,5.8,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
8,3.0,WHAMPOA STAR (B146),H T Mo,Y S Tsui,126,1146,9,5-1/4,10 11 8,1:10.46,35,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
9,8.0,LAUGH OUT LOUD (P297),M Chadwick,K L Man,120,1134,11,6-1/4,5 6 9,1:10.63,10,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
10,11.0,SUNNY ORIENT (V302),M L Yeung,T P Yung,113,1134,5,6-1/2,7 8 10,1:10.67,4.8,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
11,10.0,PADDINGTON (A107),M F Poon,W Y So,110,1116,8,8,2 2 11,1:10.91,12,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
12,12.0,DOUBLE DOUBLE (T267),K Teetan,D E Ferraris,113,1105,12,10-1/2,12 12 12,1:11.29,41,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
WV,,MY DEAR (B445),Z Purton,A S Cruz,133,---,---,---,---,---,---,2019/05/18,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.84,46.06,1:09.62,,,,23.84,22.22,23.56,nan,nan,nan
1,7.0,MARVELOUS WORLD (C237),Z Purton,F C Lor,123,1049,14,-,1 1 1,0:55.28,5.6,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
2,2.0,SUPER JUNIOR (V390),K H Chan,T P Yung,118,1235,6,N,3 3 2,0:55.34,8.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
3,1.0,VALIANT DREAM (B416),H N Wong,K W Lui,128,1221,13,3/4,2 2 3,0:55.40,1.5,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
4,3.0,CASA GLORY (C087),K Teetan,C S Shum,123,1185,12,1-1/2,4 4 4,0:55.51,12.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
5,12.0,DEMONS ROCK (B263),M F Poon,D J Hall,116,1031,9,4-1/4,5 6 5,0:55.95,44.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
6,13.0,TELECOM ROCKET (C137),G van Niekerk,Y S Tsui,119,1083,10,5-1/2,9 9 6,0:56.16,70.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
7,11.0,IRON KING (C133),C Y Ho,C H Yip,120,1096,2,6-1/2,8 5 7,0:56.30,28.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
8,5.0,GUN GUN WIN (C092),C Schofield,W Y So,123,1090,7,7-1/2,6 7 8,0:56.48,27.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
9,4.0,DR RESPECT (C129),J Moreira,J Size,123,1161,11,7-1/2,12 8 9,0:56.49,25.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
10,14.0,SOLAR BILLION (C171),M L Yeung,K L Man,116,1129,8,8-1/4,11 11 10,0:56.59,261.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
11,6.0,KANBEKI MOLLY (C256),M Chadwick,P F Yiu,123,1030,5,10-3/4,7 10 11,0:56.99,52.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
12,10.0,WINNERS BROTHER (C220),T H So,K H Ting,119,1030,3,12-3/4,10 12 12,0:57.34,218.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
13,9.0,SUPERB AGILITY (C354),H T Mo,L Ho,120,1122,1,14-1/2,14 13 13,0:57.59,91.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
14,8.0,SUNDANCER (B465),K C Leung,A S Cruz,123,1116,4,17-3/4,13 14 14,0:58.12,160.0,2019/05/18,ST,2,Class 4,1000M,60-40,GOOD,1,"TURF - ""C+3"" Course",13.17,33.62,55.28,,,,13.17,20.45,21.66,nan,nan,nan
1,3.0,DIAMOND BRILLIANT (B372),Z Purton,T P Yung,130,1176,11,-,8 3 1,1:09.75,2.8,2019/05/18,ST,3,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",24.06,46.96,1:09.75,,,,24.06,22.90,22.79,nan,nan,nan
2,11.0,GLITTERING ARMOUR (B016),C Y Ho,K W Lui,118,1191,10,SH,12 9 2,1:09.77,10.0,2019/05/18,ST,3,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",24.06,46.96,1:09.75,,,,24.06,22.90,22.79,nan,nan,nan
