Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 5 (275),RACE 5 (275).1,RACE 5 (275).2,RACE 5 (275).3,RACE 5 (275).4,RACE 5 (275).5,RACE 5 (275).6,RACE 5 (275).7,RACE 5 (275).8,RACE 5 (275).9,RACE 5 (275).10,RACE 5 (275).11,RACE 5 (275).12,RACE 5 (275).13,RACE 5 (275).14,RACE 5 (275).15
1,10.0,MISTER MONTE (A201),H T Mo,C W Chang,127.0,1080,14,-,6 3 2 2 1,1:49.16,38.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,LIGHT MY DAY (C505),B Shinn,C H Yip,133.0,1264,13,N,3 1 1 1 2,1:49.24,11.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9.0,LUCKY MISSILE (C501),L Ferraris,D J Hall,129.0,1129,5,1-3/4,11 11 11 9 3,1:49.45,22.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,SKY GEM (C251),K Teetan,C Fownes,132.0,1250,8,2-1/2,14 14 13 14 4,1:49.56,10.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,DAILY CHARM (D398),K C Leung,C S Shum,133.0,1111,4,2-3/4,8 9 9 10 5,1:49.60,6.5,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14.0,WEALTHY EMPLOYEE (D252),C Wong,K H Ting,108.0,1109,1,3,7 7 7 6 6,1:49.64,37.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12.0,DIAMOND STAR (D017),V Borges,J Size,119.0,1033,7,3-1/2,13 13 12 11 7,1:49.74,16.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6.0,LEGEND GOES (E215),R Maia,P O'Sullivan,131.0,1036,10,4-3/4,9 8 5 5 8,1:49.92,44.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.0,CENTENARY IBIS (D163),C L Chau,A T Millard,116.0,1069,11,5-1/2,1 2 3 4 9,1:50.05,8.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.0,INCREDIBLE (B477),M L Yeung,T P Yung,132.0,1190,2,6-1/4,2 4 4 3 10,1:50.15,4.2,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
