Date,Course,RaceNumber,ComputedStartTime,Start_time,Race_datetime,temperature,humidity,rainfall
2010-01-01,ST,1,12:25:00,12:25:00,2010-01-01 12:25:00,24.0,,0.0
2010-01-01,ST,2,13:00:00,13:00:00,2010-01-01 13:00:00,24.0,,0.0
2010-01-01,ST,3,13:35:00,13:35:00,2010-01-01 13:35:00,24.0,,0.0
2010-01-01,ST,4,14:10:00,14:10:00,2010-01-01 14:10:00,24.0,,0.0
2010-01-01,ST,5,14:45:00,14:45:00,2010-01-01 14:45:00,24.0,,0.0
2010-01-01,ST,6,15:20:00,15:20:00,2010-01-01 15:20:00,24.0,,0.0
2010-01-01,ST,7,15:55:00,15:55:00,2010-01-01 15:55:00,24.0,,0.0
2010-01-01,ST,8,16:30:00,16:30:00,2010-01-01 16:30:00,24.0,,0.0
2010-01-01,ST,9,17:05:00,17:05:00,2010-01-01 17:05:00,24.0,,0.0
2010-01-01,ST,10,17:40:00,17:40:00,2010-01-01 17:40:00,24.0,,0.0
2010-01-01,ST,11,18:15:00,18:15:00,2010-01-01 18:15:00,24.0,,0.0
2010-01-06,HV,1,19:15:00,19:15:00,2010-01-06 19:15:00,24.0,,
2010-01-06,HV,2,19:50:00,19:50:00,2010-01-06 19:50:00,24.0,,
2010-01-06,HV,3,20:25:00,20:25:00,2010-01-06 20:25:00,24.0,,
2010-01-06,HV,4,21:00:00,21:00:00,2010-01-06 21:00:00,24.0,,
2010-01-06,HV,5,21:35:00,21:35:00,2010-01-06 21:35:00,24.0,,
2010-01-06,HV,6,22:10:00,22:10:00,2010-01-06 22:10:00,24.0,,
2010-01-06,HV,7,22:45:00,22:45:00,2010-01-06 22:45:00,24.0,,
2010-01-06,HV,8,23:20:00,23:20:00,2010-01-06 23:20:00,24.0,,
2010-01-10,ST,1,13:00:00,13:00:00,2010-01-10 13:00:00,24.0,,0.0
2010-01-10,ST,2,13:35:00,13:35:00,2010-01-10 13:35:00,24.0,,0.0
2010-01-10,ST,3,14:10:00,14:10:00,2010-01-10 14:10:00,24.0,,0.0
2010-01-10,ST,4,14:45:00,14:45:00,2010-01-10 14:45:00,24.0,,0.0
2010-01-10,ST,5,15:20:00,15:20:00,2010-01-10 15:20:00,24.0,,0.0
2010-01-10,ST,6,15:55:00,15:55:00,2010-01-10 15:55:00,24.0,,0.0
2010-01-10,ST,7,16:30:00,16:30:00,2010-01-10 16:30:00,24.0,,0.0
2010-01-10,ST,8,17:05:00,17:05:00,2010-01-10 17:05:00,24.0,,0.0
2010-01-10,ST,9,17:40:00,17:40:00,2010-01-10 17:40:00,24.0,,0.0
2010-01-10,ST,10,18:15:00,18:15:00,2010-01-10 18:15:00,24.0,,0.0
2010-01-13,HV,1,19:15:00,19:15:00,2010-01-13 19:15:00,24.0,,
2010-01-13,HV,2,19:50:00,19:50:00,2010-01-13 19:50:00,24.0,,
2010-01-13,HV,3,20:25:00,20:25:00,2010-01-13 20:25:00,24.0,,
2010-01-13,HV,4,21:00:00,21:00:00,2010-01-13 21:00:00,24.0,,
2010-01-13,HV,5,21:35:00,21:35:00,2010-01-13 21:35:00,24.0,,
2010-01-13,HV,6,22:10:00,22:10:00,2010-01-13 22:10:00,24.0,,
2010-01-13,HV,7,22:45:00,22:45:00,2010-01-13 22:45:00,24.0,,
2010-01-13,HV,8,23:20:00,23:20:00,2010-01-13 23:20:00,24.0,,
2010-01-16,ST,1,13:00:00,13:00:00,2010-01-16 13:00:00,24.0,,0.0
2010-01-16,ST,2,13:35:00,13:35:00,2010-01-16 13:35:00,24.0,,0.0
2010-01-16,ST,3,14:10:00,14:10:00,2010-01-16 14:10:00,24.0,,0.0
2010-01-16,ST,4,14:45:00,14:45:00,2010-01-16 14:45:00,24.0,,0.0
2010-01-16,ST,5,15:20:00,15:20:00,2010-01-16 15:20:00,24.0,,0.0
2010-01-16,ST,6,15:55:00,15:55:00,2010-01-16 15:55:00,24.0,,0.0
2010-01-16,ST,7,16:30:00,16:30:00,2010-01-16 16:30:00,24.0,,0.0
2010-01-16,ST,8,17:05:00,17:05:00,2010-01-16 17:05:00,24.0,,0.0
2010-01-16,ST,9,17:40:00,17:40:00,2010-01-16 17:40:00,24.0,,0.0
2010-01-16,ST,10,18:15:00,18:15:00,2010-01-16 18:15:00,24.0,,0.0
2010-01-20,HV,1,19:15:00,19:15:00,2010-01-20 19:15:00,24.0,,
2010-01-20,HV,2,19:50:00,19:50:00,2010-01-20 19:50:00,24.0,,
2010-01-20,HV,3,20:25:00,20:25:00,2010-01-20 20:25:00,24.0,,
2010-01-20,HV,4,21:00:00,21:00:00,2010-01-20 21:00:00,24.0,,
2010-01-20,HV,5,21:35:00,21:35:00,2010-01-20 21:35:00,24.0,,
2010-01-20,HV,6,22:10:00,22:10:00,2010-01-20 22:10:00,24.0,,
2010-01-20,HV,7,22:45:00,22:45:00,2010-01-20 22:45:00,24.0,,
2010-01-20,HV,8,23:20:00,23:20:00,2010-01-20 23:20:00,24.0,,
2010-01-24,ST,1,13:00:00,13:00:00,2010-01-24 13:00:00,24.0,,0.0
2010-01-24,ST,2,13:35:00,13:35:00,2010-01-24 13:35:00,24.0,,0.0
2010-01-24,ST,3,14:10:00,14:10:00,2010-01-24 14:10:00,24.0,,0.0
2010-01-24,ST,4,14:45:00,14:45:00,2010-01-24 14:45:00,24.0,,0.0
2010-01-24,ST,5,15:20:00,15:20:00,2010-01-24 15:20:00,24.0,,0.0
2010-01-24,ST,6,15:55:00,15:55:00,2010-01-24 15:55:00,24.0,,0.0
2010-01-24,ST,7,16:30:00,16:30:00,2010-01-24 16:30:00,24.0,,0.0
2010-01-24,ST,8,17:05:00,17:05:00,2010-01-24 17:05:00,24.0,,0.0
2010-01-24,ST,9,17:40:00,17:40:00,2010-01-24 17:40:00,24.0,,0.0
2010-01-24,ST,10,18:15:00,18:15:00,2010-01-24 18:15:00,24.0,,0.0
2010-01-27,HV,1,19:15:00,19:15:00,2010-01-27 19:15:00,24.0,,
2010-01-27,HV,2,19:50:00,19:50:00,2010-01-27 19:50:00,24.0,,
2010-01-27,HV,3,20:25:00,20:25:00,2010-01-27 20:25:00,24.0,,
2010-01-27,HV,4,21:00:00,21:00:00,2010-01-27 21:00:00,24.0,,
2010-01-27,HV,5,21:35:00,21:35:00,2010-01-27 21:35:00,24.0,,
2010-01-27,HV,6,22:10:00,22:10:00,2010-01-27 22:10:00,24.0,,
2010-01-27,HV,7,22:45:00,22:45:00,2010-01-27 22:45:00,24.0,,
2010-01-27,HV,8,23:20:00,23:20:00,2010-01-27 23:20:00,24.0,,
2010-01-31,ST,1,13:00:00,13:00:00,2010-01-31 13:00:00,24.0,,0.0
2010-01-31,ST,2,13:35:00,13:35:00,2010-01-31 13:35:00,24.0,,0.0
2010-01-31,ST,3,14:10:00,14:10:00,2010-01-31 14:10:00,24.0,,0.0
2010-01-31,ST,4,14:45:00,14:45:00,2010-01-31 14:45:00,24.0,,0.0
2010-01-31,ST,5,15:20:00,15:20:00,2010-01-31 15:20:00,24.0,,0.0
2010-01-31,ST,6,15:55:00,15:55:00,2010-01-31 15:55:00,24.0,,0.0
2010-01-31,ST,7,16:30:00,16:30:00,2010-01-31 16:30:00,24.0,,0.0
2010-01-31,ST,8,17:05:00,17:05:00,2010-01-31 17:05:00,24.0,,0.0
2010-01-31,ST,9,17:40:00,17:40:00,2010-01-31 17:40:00,24.0,,0.0
2010-01-31,ST,10,18:15:00,18:15:00,2010-01-31 18:15:00,24.0,,0.0
2010-02-03,HV,1,19:15:00,19:15:00,2010-02-03 19:15:00,24.0,,
2010-02-03,HV,2,19:50:00,19:50:00,2010-02-03 19:50:00,24.0,,
2010-02-03,HV,3,20:25:00,20:25:00,2010-02-03 20:25:00,24.0,,
2010-02-03,HV,4,21:00:00,21:00:00,2010-02-03 21:00:00,24.0,,
2010-02-03,HV,5,21:35:00,21:35:00,2010-02-03 21:35:00,24.0,,
2010-02-03,HV,6,22:10:00,22:10:00,2010-02-03 22:10:00,24.0,,
2010-02-03,HV,7,22:45:00,22:45:00,2010-02-03 22:45:00,24.0,,
2010-02-03,HV,8,23:20:00,23:20:00,2010-02-03 23:20:00,24.0,,
2010-02-07,ST,1,13:00:00,13:00:00,2010-02-07 13:00:00,24.0,,0.0
2010-02-07,ST,2,13:35:00,13:35:00,2010-02-07 13:35:00,24.0,,0.0
2010-02-07,ST,3,14:10:00,14:10:00,2010-02-07 14:10:00,24.0,,0.0
2010-02-07,ST,4,14:45:00,14:45:00,2010-02-07 14:45:00,24.0,,0.0
2010-02-07,ST,5,15:20:00,15:20:00,2010-02-07 15:20:00,24.0,,0.0
2010-02-07,ST,6,15:55:00,15:55:00,2010-02-07 15:55:00,24.0,,0.0
2010-02-07,ST,7,16:30:00,16:30:00,2010-02-07 16:30:00,24.0,,0.0
2010-02-07,ST,8,17:05:00,17:05:00,2010-02-07 17:05:00,24.0,,0.0
2010-02-07,ST,9,17:40:00,17:40:00,2010-02-07 17:40:00,24.0,,0.0
2010-02-07,ST,10,18:15:00,18:15:00,2010-02-07 18:15:00,24.0,,0.0
2010-02-10,HV,1,19:15:00,19:15:00,2010-02-10 19:15:00,24.0,,
2010-02-10,HV,2,19:50:00,19:50:00,2010-02-10 19:50:00,24.0,,
2010-02-10,HV,3,20:25:00,20:25:00,2010-02-10 20:25:00,24.0,,
2010-02-10,HV,4,21:00:00,21:00:00,2010-02-10 21:00:00,24.0,,
2010-02-10,HV,5,21:35:00,21:35:00,2010-02-10 21:35:00,24.0,,
2010-02-10,HV,6,22:10:00,22:10:00,2010-02-10 22:10:00,24.0,,
