Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,6,DRAGON CHOICE  (CL338),J Lloyd,B/TT,"Began well from the widest draw, travelled wide in prominent position early, took up running coming out of back straight, maintained 1L advantage turning in, just held off second by the narrowest of margins.",2012-01-01,1
2,3,ALP'S GLORY  (CL433),D Beadman,B,"Began with others, settled in 6th within 3Ls of pace, commenced move turning in, fought on nicely under pressure to just fail to get up on line.",2012-01-01,1
3,7,GENERAL DANROAD  (CL020),M Barzalona,--,"Began awkwardly, settled behind midfield on rails, saved ground turning in to be within 3Ls of lead on straightening, ran on steadily under pressure to be nearest at finish.",2012-01-01,1
4,2,KING OF FISH II  (CL264),D Whyte,CP,"Always prominent, settled 2-wide in 5th about 2.5Ls off the speed, similar turning in, fought on steadily without threatening, steadied 50 M out.",2012-01-01,1
5,12,DUKE'S VICTORY  (CL262),M Guyon,V,"Began with others, soon taken well back, trailed the field into straight, switched out to the centre of the track for a run, ran on steadily.",2012-01-01,1
6,10,MASTER DRAGON  (CL137),C Y Ho,B/TT,"Began moderately, niggled along to pick up one back position on rails, became 4th about 2Ls off the pace rounding home bend, switched out for a run upon straightening, fought on steadily.",2012-01-01,1
7,14,GOOD JOB  (CL113),T Clark,SR/TT,"Began from a poor draw, soon taken well back, baulked early in straight, finished off race nicely.",2012-01-01,1
8,5,DR UNION  (CK105),W M Lai,--,"Began moderately, settled in forward of midfield within 5Ls of pace, inconvenienced on straightening, ran home one-paced.",2012-01-01,1
9,4,SPEEDY  (CJ037),Y T Cheng,--,"Began well, held slender lead on rails early, ceded advantage to eventual winner coming out of back straight, kept on under pressure before yielding ground inside final 250 M.",2012-01-01,1
10,1,M'S MAGIC  (M079),Z Purton,B/TT,"Began with others, hard ridden to muster speed early, restrained to joint 2nd 2-wide without cover around home bend, soon weakened in straight.",2012-01-01,1
11,13,POLYMER POWER  (CL417),H W Lai,B2/TT,"Settled in midfield, raced wide throughout, found nil in straight.",2012-01-01,1
12,11,FAIRY BOY  (CL377),O Doleuze,TT,Never better than midfield.,2012-01-01,1
13,9,HEXAGON  (CL121),T Angland,B-/P1/H2/TT,"Began with others from a poor draw, raced ungenerously while taken backward to rear of midfield, hung wide making home turn, soon weakened.",2012-01-01,1
1,6,RAIN OF THUNDER  (CJ352),K C Leung,BO,Made his run third from the rear after being checked passing the 1700m. peeled out nicely turning for home and ran on strongly.,2012-01-01,2
2,3,SUNNY SKY  (CL215),D Beadman,B,Travelled in midfield 2 deep with cover. Hit the lead near the furlong but was overhauled near the 50m.,2012-01-01,2
3,11,KING GALILEO  (CL028),T Clark,--,Began awkwardly settling with the backmakers along the fence. Closed off well.,2012-01-01,2
4,12,ROCKET AND GOLD  (CH015),Y T Cheng,B/TT,Crowded in the early stages settling back in the field 2-3 wide with cover. Peeled out widest after the 300m and hit the line with purpose.,2012-01-01,2
5,9,GORGEOUS RULER  (CK403),N Callan,B/TT,Camped midfield the fence. Stayed to the inside in the home straight and whacked away at the same speed.,2012-01-01,2
6,14,MR SPEEDY  (M183),H W Lai,CP,Dictated the running settling 1 off without cover. Commenced to tire after the final furlong.,2012-01-01,2
7,7,WADASURPRISE  (CK272),Z Purton,B/XB,Travelled behind midfield 2 deep with cover. Struck some tightening close to home but was only one paced prior to the incident.,2012-01-01,2
8,10,FOREST FOUNTAIN  (CJ047),J Lloyd,B/TT,"Copped a check near the 1700m, but was always going to settle worse than midfield the fence. Made steady progress in the straight despite wanting to hang in.",2012-01-01,2
9,5,GRANDWAY FLYER  (CK302),D Whyte,B/H,"Had every possible chance settling 1 out 1 back, had to be steadied when crowded near the 300m but was already a beaten horse, no excuses.",2012-01-01,2
10,2,PAPAS  (CK274),M Guyon,V,Tracked the leader along the paint. Had every possible chance but was a spent force after the 400m.,2012-01-01,2
11,1,BEST NOODLE  (CJ278),G Mosse,--,Settled behind midfield 3 wide with cover. Was never in the hunt and weakened over the concluding stages despite being shuffled back prior to the home turn.,2012-01-01,2
12,4,BROTHERS IN ARMS  (CJ070),M Barzalona,B,Raced keenly as joint leader along the paint. Faded in the home straight.,2012-01-01,2
13,8,NOBLE FLIER  (CL142),C Y Ho,B,Slow to begin settling midfield 3 deep with cover. Struggled in the final stretch.,2012-01-01,2
14,13,JUST GOOD  (CL133),M L Yeung,B-/H2,Throughout the race travelled 3 deep without cover behind the speed. Never likely. Vet reported heart irregularity.,2012-01-01,2
1,5,SIMPLE  (N021),D Whyte,--,3-wide towards rear to home straight. Dashed strongly to hit front final furlong. Powered clear to score victory.,2012-01-01,3
2,2,BEAUTY KING  (N028),G Mosse,--,Prominent spot to home straight. Held up top of home straight. Finished off well when cleared but no hope with winner.,2012-01-01,3
3,1,IMPECCABLE  (CL383),K C Ng,B-/CP1,Ridden early and parked outside leader home turn. Pressed 350M. Hung on but couldn't resist the front pair final stages.,2012-01-01,3
4,13,EXCELLENT WIN  (CL234),T H So,CP,Sat behind leaders to home straight. Kept on satisfactorily to make frame without threatening the front trio.,2012-01-01,3
5,4,BLESSING WIN  (N131),T Angland,--,Behind midfield on fence to home turn. Baulked for run early home straight. Ran on steadily when clear.,2012-01-01,3
6,12,TOP DRAGON  (CK342),C W Wong,B,Hard ridden early and found the fence towards rear. Covered decent ground home.,2012-01-01,3
7,14,MY MELODY  (CJ157),G Cheyne,B/TT,3-wide at midfield early. One spot closer home turn. One-paced to conclude.,2012-01-01,3
8,3,SOLAR BOY  (CL213),Y T Cheng,B,Pressed early to hold the fence in the leading position. Couldn't turn up a notch when asked passing 300M.,2012-01-01,3
9,6,SUN SPEEDY  (N050),B Prebble,--,Behind midfield always. Never nearer.,2012-01-01,3
10,7,THANKSGIVING  (M350),D Beadman,--,Wide behind midfield to home straight. No real improvement thereafter.,2012-01-01,3
11,8,TANG PALACE  (M316),M Chadwick,TT,2-wide at midfield to home straight. Failed to pick up thereafter.,2012-01-01,3
12,11,LUCKY SUPREME  (M093),T Clark,B-/V1/TT,At rear to home straight. Never in the hunt.,2012-01-01,3
13,10,DRAGONFIELD  (M042),C Y Ho,B/TT1,Ahead of midfield early. Left wide and without cover after 800M. Improved to outside of leaders home turn. Peaked soon after straightening.,2012-01-01,3
14,9,KIMBER FORTUNE  (CK162),H W Lai,B/TT,At rear always. Never a factor.,2012-01-01,3
1,1,GAMEKEEPERS  (M357),D Whyte,--,"Sharp to stride from Gate 1, raced in close 2nd on paint, switched 2 deep without cover at 800m, quickened to lead at 400m, strong run to line.",2012-01-01,4
2,2,HAPPY FOREVER  (M034),K C Ng,TT,"Smart break, dropped in mid rank, 2 deep without cover 6L off lead, progress from 600m, peeled 4 wide into straight, quickened at 400m, good effort to the wire.",2012-01-01,4
3,6,JADE CHRISTY  (M412),Z Purton,--,"Tracked speed 1 off the rail with cover, 3 deep in 3rd position when hard ridden into home stretch, maintained effort to the winning post.",2012-01-01,4
4,5,MAELSTROM  (CK370),B Doyle,--,"Fair early pace, settled 5th on rail, taken 4 deep and checked slightly at 400m, lost some momentum, recovered to close off strongly.",2012-01-01,4
5,10,PERFECT FIT  (CK323),M Chadwick,B/TT,"Lacked pace from gate, niggled along in mid rank, on bridle in 7th turning for home, unable to quicken at top of stretch, stayed on well.",2012-01-01,4
6,7,AL PRINCE  (M235),M Barzalona,B/XB,"Missed the kick, speed to recover and sit 3rd on fence at 800m, out-paced but responded to pressure down the stretch, lost 5th at the wire.",2012-01-01,4
7,8,KING OF THE DAY  (CL324),T Clark,B/TT,"Fastest at break, led until headed at 400m, plugged on through the closing stages.",2012-01-01,4
8,4,INTELLECTUALSTRIDE  (CL409),Y T Cheng,H/SR,"Nudged along from start, raced behind midfield, 5 wide into straight, modest effort through final exchanges.",2012-01-01,4
9,3,NOVEL WINNING  (CK183),D Beadman,B,"Raced on the rail behind mid rank, switched out entering home stretch, one-paced.",2012-01-01,4
10,9,CLEMENT SPIRIT  (CL346),M L Yeung,CP,"Dropped to the tail from wide draw, 12Ls off lead and nudged along at 800m, some progress thereafter, ran on past beaten horses.",2012-01-01,4
11,12,TRUE VALOUR  (CL370),C Y Ho,B,"Held up near rear from widest gate, camped 2 deep without cover, tracked widest off home turn, kept on one pace.",2012-01-01,4
12,11,WINSOME  (M261),M Guyon,TT,"Slow at the break, taken to rail, raced in last trio with cover, hard ridden at 400m, faded out.",2012-01-01,4
13,14,GREAT HERO  (CH016),T H So,B/TT,"Bustled along towards rear, tame effort in straight, never a factor.",2012-01-01,4
14,13,PERFECT JOY  (M182),C W Wong,TT,"Hard driven from gate, raced 3 or 4 deep without cover in midfield, 6 wide off final turn, tiring when sandwiched between rivals at 250m, dropped away.",2012-01-01,4
1,14,SUPER CAGA  (CK054),G Cheyne,B,"Fair break, taken back to rear one-off, widest of all into straight, came with rush to lead on line.",2012-01-01,5
2,2,SAMMY'S FALCON  (CK383),K C Leung,B/TT,"Broke well, settled fifth rail, held up briefly approaching turn and mid-straight, three wide bid to lead 50m out, nailed on line.",2012-01-01,5
3,6,RIGHT TIMING  (M356),D Whyte,XB,"Fair break, not rushed, mid-rear two off, wide bid, ran on well, swamped late.",2012-01-01,5
4,5,HIGH RETURN  (CK164),K C Ng,B/TT,"Ridden from gate to lead and cross, dictated, ridden early straight, led gamely until caught 50m out.",2012-01-01,5
5,7,DIVINITY POWER  (M091),T Angland,B/H/TT,"Fair break, not rushed, settled mid-rear rail, improved rail turn, bid between horses, kept on without kick.",2012-01-01,5
6,9,THEHEROINMYHEART  (N083),T Clark,--,"Fair break, taken back to mid-rear two off, wide bid, kept on.",2012-01-01,5
7,10,MERACUS  (M286),C Y Ho,--,"Fair break, slight bump, mid-rear one off, mid-track bid, kept on.",2012-01-01,5
8,11,LUCKY NISTELROOY  (CL118),M Chadwick,V/TT,"Jumped well, settled second rail, then third, kept trying to get up leader's inside straight but not quite pace, no extra late.",2012-01-01,5
9,1,SOLAR GREAT  (M189),Z Purton,H,"Fair break, midfield one off, mid-track bid, no extra from 200m out.",2012-01-01,5
10,12,MASTER RACER  (M278),D Beadman,--,"Broke well, up to fourth one off, four wide bid, slight bump, weakened.",2012-01-01,5
11,4,DREAMS MAKER  (CL131),N Callan,B,"Broke well, ridden up three wide to second one off, challenged leader early straight, no extra from 300m out.",2012-01-01,5
12,3,ELEPHANT CHEERS  (M247),M Guyon,CP,"Fair break, not rushed, fourth last rail, inside bid, kept on one pace until weakened late.",2012-01-01,5
13,8,STARLIT WARRIOR  (M162),B Doyle,B-/CP1,"Taken back, second last rail, out for wide bid, slightly short of room but never dangerous.",2012-01-01,5
14,13,ISLAND SPRING  (CL238),O Doleuze,CP,"Wide without cover throughout, badly bumped, never a factor.",2012-01-01,5
1,10,EKRAAR EMPEROR  (M081),M Chadwick,SR-/TT,"Settled in box seat, benefited by the slow tempo, closed off strongly to in by a very narrow margin.",2012-01-01,6
2,8,NICHOLSON  (M173),B Prebble,B,"Eased to sit in midfield, lack cover, 6Ls off the leader 3 wide, harmed by the slow pace, demonstrated strong finishing efforts 400M, just beaten by a short head in 2nd.",2012-01-01,6
3,1,OUR DYNASTY  (M241),D Beadman,XB/TT,"Eased to sit in midfield along the fence, 4.5Ls off the leader, not suited by the slow pace, held up 400M, dashed well when clear and grab 3rd.",2012-01-01,6
4,7,KINGSTON SPARTACUS  (CL116),Z Purton,--,"Eased back, 6.5Ls off the leader 2 wide, dashed well 200M despite not suited by the slow tempo.",2012-01-01,6
5,14,SUPER TEAM  (M036),M L Yeung,B,"Eased to rear, 10Ls off the leader 3 wide, harmed by the slow pace, dashed well 300M.",2012-01-01,6
6,2,COMMON GOAL  (M167),H W Lai,--,"Very slow away, 7.5Ls off the leader 3 wide, dashed well 300M despite not suited by the slow pace.",2012-01-01,6
7,3,SEASONS CREST  (CL355),T Angland,--,"Settled in front, 2.5Ls off the leader 2 wide, favoured by the slow tempo, ran on well until 200M, slightly checked then flattened.",2012-01-01,6
8,13,HUMONGUS  (CJ265),G Cheyne,B/TT,"Eased back, checked early, 8Ls off the leader 2 wide, harmed by the slow pace, little dash 200M.",2012-01-01,6
9,4,HEALTHY BLUEBERRY  (CK222),T H So,V/TT,"Hard ridden forward, just off the leader 2 wide, benefited by the slow sectionals, but soon emptied 300M.",2012-01-01,6
10,5,GOOD GAINS  (CJ293),K C Ng,--,"Eased back, 7Ls off the leader on the rails, checked 700M, not suited by the slow pace, ran on ok in straight.",2012-01-01,6
11,11,EVEN EMAIL  (M323),K C Leung,--,"Eased to sit in midfield, 4.5Ls off the leader 2 wide, not suited by the slow tempo, no progress.",2012-01-01,6
12,6,SILVER DRAGON  (M326),T Clark,H-,"In front of midfield along the fence, 2.5Ls off the slow tempo, weakened 200M.",2012-01-01,6
13,12,MY BEST CHOICE  (CL403),M Du Plessis,H,"Took rail and led easily by 1L at advantageous slow sectionals, however soon weakened 300M.",2012-01-01,6
14,9,REALLY THE BEST  (M188),M Barzalona,B,"Eased at start, 10Ls off the leader on the fence, checked 700M, harmed by the slow pace, no progress.",2012-01-01,6
1,9,WRATH OF FIRE  (CL420),M L Yeung,--,"Taken back to rear, last one off until pulled wide entering straight, strong run to cut down entire field and lead on line.",2012-01-01,7
2,10,GOODVIEW SUCCESSOR  (M043),M Guyon,--,"Fair break, slight interference passing post first time, midfield one off, strong mid-track bid, outpaced close home.",2012-01-01,7
3,12,LET'S GOAL  (M061),M Chadwick,TT,"Broke well, up to lead, headed half- length but retained rail in second, challenge two off, not kick of first two.",2012-01-01,7
4,7,SUMMER DASH  (M105),B Prebble,--,"Fair break, midfield one off, out for mid-track bid but unable to trouble leaders.",2012-01-01,7
5,13,SOUNDS EXCELLENT  (CK259),M Barzalona,B,"Slowly away, up to mid-rear rail, improved along rail, inside bid, slightly short of room, kept on one pace.",2012-01-01,7
6,14,TRES MAGNIFIQUE  (CL367),G Cheyne,B/TT,"Fair break, ridden to join leaders but caught three wide for most of trip, ridden early straight, no extra from 250m out.",2012-01-01,7
7,8,GLORY OF INDIA  (CK130),J Lloyd,TT,"Broke well, settled fifth rail, blocked 350m out, clear 200m out, kept on late.",2012-01-01,7
8,5,SUPER HURRICANE  (M237),H W Lai,--,"Fair break, early interference then fourth one off, four wide bid at turn, kept on.",2012-01-01,7
9,2,FLYING CHAPARRAL  (M245),D Whyte,SR,"Moderate break, checked passing post first time then third one off, challenged leader three off, weakened.",2012-01-01,7
10,11,BURGUNDY MAC  (M205),M Du Plessis,SR,"Fair break, fourth last one off, taking time to settle, checked off heels turn, wide bid, modest progress.",2012-01-01,7
11,4,SICHUAN LEGEND  (M248),G Mosse,SR,"Not rushed from wide gate but still caught three wide no cover first turn and throughout, no more to give in straight.",2012-01-01,7
12,6,NORTH HILL  (CJ082),T Clark,--,"Fair break, midfield three off, three wide no cover from 900m out, slight interference mid-straight, no extra.",2012-01-01,7
13,3,TOM'S EIGHTH  (CL087),O Doleuze,B/TT,"Got head down and missed break losing considerable ground, second last rail, no run available before turn, one pace.",2012-01-01,7
14,1,ANTIPASTO  (CK213),K C Leung,B,"Ridden from gate, checked early, midfield rail, blocked turn and mid-straight, weakened late.",2012-01-01,7
1,8,BEST ELEVEN  (N016),M Guyon,TT,"In midfield early, moved forward to track leader from 1000M, responded strongly to lead inside 300M, kicked clear, kept on well to maintain advantage final 200M.",2012-01-01,8
2,9,LONGWAH RISING  (CJ297),B Doyle,B2,"Always prominent, switched out to clear 300M, stayed on well to go 2nd 25M from home but not getting to the winner.",2012-01-01,8
3,4,MENTOR  (N017),D Whyte,--,"Never far off the pace, came to have every chance turning into straight, couldn't get to the winner, faded final stages and lost 2nd near line.",2012-01-01,8
4,5,QUANTUM POWER  (M134),G Mosse,XB,"Held up behind midfield, stayed on final 300M but making no impression on the winner.",2012-01-01,8
5,7,WINNING APEX  (N128),O Doleuze,--,"Dropped back to last, switched wide nearing 600M, made some progress in straight without troubling the leaders.",2012-01-01,8
6,13,SHIBALA  (CK230),W M Lai,TT,"Began well, restrained to a handy position behind leaders, one paced inside 300M, no impression.",2012-01-01,8
7,2,FOREVER ELATION  (CK215),T Angland,B,"Towards the rear along the inside, ran on only fairly, never a threat.",2012-01-01,8
8,12,HORSESHOE FORTUNE  (CL098),C K Tong,--,"Restrained on jumping from wide barrier, crossed to a 3-wide spot towards the rear, came under pressure 500M, never going the pace to challenge.",2012-01-01,8
9,6,TIME RUNNER  (M364),M Chadwick,B1,"Went forward, emerged as leader nearing 800M, led to 350M, weakened.",2012-01-01,8
10,10,VIVA FIGHTER  (CG307),H W Lai,B/TT,"Towards the rear, not quickened uner pressure over final 400M, neer a factor.",2012-01-01,8
11,3,SUPER BRAND  (M155),D Beadman,H/TT,"Settled behind midfield, one-paced throughout, lost touch near 200M.",2012-01-01,8
12,11,EASY TRACK  (N039),Y T Cheng,--,"Positioned in midfield 3-wide, pushed wider over the turn, soon weakened passing 400M, eased when no chance final 150M.",2012-01-01,8
1,3,FINEZZA  (M035),O Doleuze,B/XB,"Given waiting ride and settled behind the mid-division, kicked strongly when asked for effort 350 M, ran on soundly, just in time.",2012-01-01,9
2,4,AOMEN  (N008),M Guyon,--,"Broke well, settled one-off just off the speed, responded well when asked 350 M out, led 200 M out, kept on strongly, caught on line.",2012-01-01,9
3,13,SHINY DAY  (M131),Y T Cheng,--,"Urged along to share the lead on rails, headed 200 M out, kept on well for place.",2012-01-01,9
4,6,LOMBARDI  (CK406),N Callan,B,"Travelled 3-wide with cover midfield, responded when asked 350 M,ran on steadily.",2012-01-01,9
5,8,SHIFACHI TRADITION  (CL013),D Whyte,B-/SR1/TT-,"Lacked early speed and travelled on from the rear, made up gradual ground down the outside in straight.",2012-01-01,9
6,1,TREASURE GOLD  (M233),J Lloyd,B,"Restrained one-off midfield, pulled early, only one-pace straight.",2012-01-01,9
7,9,SYDNEY POWER  (M408),T Clark,--,"Easily up to share the lead 2-deep, only gave limited response when asked 300m out, flattened.",2012-01-01,9
8,2,ATHENIUM  (CK197),M Du Plessis,CP,"Taken back from the high draw, only limited progress down the outside straight.",2012-01-01,9
9,14,SUNSHINE DAY  (N116),M Chadwick,TT1,"Given waiting ride and settled behind the mid-division, only one-paced when asked for effort in straight.",2012-01-01,9
10,11,MASTER KEY  (CK387),K C Ng,H/TT,"Prominently placed just off lead, pulled halfway, held ground at the top of straight, no extra final 200 M.",2012-01-01,9
11,5,IRON EAGLE  (M156),K C Leung,CP-/TT1,"Prominently placed in box-seat, held ground until weakened near 200 M pole.",2012-01-01,9
12,10,SILVER FLOWER  (M264),C Y Ho,B,"Slow away, urged along to find midfield rail, struggled turn, soon weakened.",2012-01-01,9
13,12,MOON CHASER  (CK013),C K Tong,B-/TT,"Lacked early speed and travelled rear, outpaced at the top of straight, faded.",2012-01-01,9
14,7,JIMSON THE BEST  (CL016),C W Wong,--,"Caught wide with no cover just off the pace, struggled turn, weakened, tailed off.",2012-01-01,9
1,10,AASHIQ  (CK175),J Lloyd,CP,"Showed usual pace to roll forward, took up running and rolled along at own leisure 2Ls clear, held a margin turning and fought on well final 300m to defy rivals.",2012-01-01,10
2,4,CAPTAIN SWEET  (CL354),D Beadman,--,"Pressed forward to take a prominent spot first outside leader, enjoyed a fair trip with even speed on, 2Ls down and improving turning, loomed up but couldn't make ground final 100m.",2012-01-01,10
3,6,FAT CHOY OOHLALA  (CL250),Z Purton,B,"Faded back from a wide alley, raced near last on rails nearly 10ls back, kept to fence and saved ground turning, closed hard along inside final 300m making many lengths and just missed 2nd.",2012-01-01,10
4,3,ADMIRATION  (CL216),B Prebble,B-,"Angled into ideal spot 1 out 1 back, had all favours in run, improved at 350m, kept coming final furlong grinding away to make frame.",2012-01-01,10
5,11,SWEET ORANGE  (M289),M Barzalona,TT,"Drifted back to settle with last few, raced 3 wide 8Ls or so back, had cover in mid section, came to outside and warmed up strongly final 300m making good ground to be nearest on line.",2012-01-01,10
6,1,BEAUTY FLASH  (CK314),G Mosse,TT,"Shade tardy to begin, wasn't in usual role on pace, sat 3Ls back on rails, even run to turn, made steady progress but peaked on run final 100m. (See Racing Incidents.)",2012-01-01,10
7,5,LEADING CITY  (CK298),O Doleuze,--,"Showed usual speed early but unable to hold lead, was difficult to settle racing behind leader, close enough on turn, kept on well enough but lacked dash to factor final 200m.",2012-01-01,10
8,7,PENGLAI XIANZI  (CK248),M Chadwick,TT,"Fractious before start, landed a spot in midfield, reasonable run to bend, kept to task in straight but had too much to do, made minor ground late.",2012-01-01,10
9,2,SICHUAN SUCCESS  (CL307),D Whyte,TT,"Out in line, posted 3 wide without cover from outside alley, worked too hard wide in midfield, kept on well enough but hard run took toll final 250m.",2012-01-01,10
10,8,BRAVE KID  (CK391),M L Yeung,--,"No early speed, raced behind midfield on rails, 7Ls away in mid section, saved ground on bend, one paced in straight and failed to threaten.",2012-01-01,10
11,12,LONGWAH SUPREME  (M293),M Du Plessis,B-/TT-,"Allowed to settle in 2nd half of field, raced in two wide line 8-9Ls away, had job to do turning, just produced an even close making minor progress.",2012-01-01,10
12,9,WHITE JADE  (CK131),T Clark,H/CP/XB,"No early toe, raced 2 and 3 wide at rear 10Ls off lead, always well back, never threatened.",2012-01-01,10
1,2,FAY FAY  (CL284),D Whyte,--,"Restrained to find cover, raced 3 wide behind midfield, enjoyed a good trail into race, came 4 wide turning and let down strongly at 250m, dashed too well and drew away for another commanding win.",2012-01-01,11
2,7,SEMOS  (M125),T Angland,B/TT1,"Ended up well back from a tricky alley, 8Ls or so away on rails, aided by tempo but set a task turning, weaved a passage between horses making good ground late before inconvenienced, still able to take 2nd late.",2012-01-01,11
3,6,HELENE SPIRIT  (M310),M Du Plessis,TT,"Out in line, ended up 6Ls away in midfield, crept closer approaching bend, worked into clear with a good run, kept on well but lost 2nd placing final 50m.",2012-01-01,11
4,5,DRAGON FIGHTER  (CL260),M L Yeung,--,"Away ok, raced 3Ls or so away on rails, had a quiet run to bend, in mix most of straight before drifting late and bumping, lost place final 50m.",2012-01-01,11
5,4,TURF EXPRESS  (CL399),G Mosse,TT,"Began nicely, angled into 1 out 1 back spot, even run with decent speed on, no excuse to bend, loomed up at 300m but no dash thereafter and stayed on before dropping off late.",2012-01-01,11
6,12,SAME WORLD  (N098),D Beadman,H1,"No speed, raced 3 and 4 wide at rear, nearly 9Ls away in run, got on eventual winner's back rounding bend, peaked on run but kept on ok for first up effort.",2012-01-01,11
7,1,JUST FANTASTIC  (CL291),K C Ng,H,"Pressed forward to eventually take up running, set decent tempo in front, 1L clear turning, there to 200m before fading out.",2012-01-01,11
8,13,RICH TAPESTRY  (N011),J Lloyd,B-/SR,"No early speed, settled at rear 8-9Ls back, raced 2 and 3 wide on bend, had job to do but just passed the weakening brigade late.",2012-01-01,11
9,3,HOT SHOT  (CL289),C Y Ho,TT,"Went forward to take a spot first outside leader, did some work with decent speed on, 1L down turning, didn't have much left at 300m and weakened out.",2012-01-01,11
10,8,KING OF REASON  (M154),N Callan,H,"Planted 3 wide without cover in midfield, did some work with speed on, 5Ls back to bend, kept coming to his credit but emptied at 200m.",2012-01-01,11
11,9,KING AL AKBAR  (CK381),O Doleuze,H,"Standard break, raced 7Ls away behind midfield in mid section, difficult to settle despite even trip to bend, ordinary closing effort in stretch.",2012-01-01,11
12,14,REAL SUPREME  (CL247),T H So,B/TT,"Pressed forward and retained early lead, took a trail heading down back, did a bit on decent speed, in traffic turning but was disapointing when clear and dropped out tamely.",2012-01-01,11
13,10,HELENE WITTY  (CL228),M Chadwick,TT,"Slow into stride from wide gate, settled with last few on rails, best part of 10Ls back to bend, made no serious progress.",2012-01-01,11
14,11,NEW GREENFIELD  (M282),M Barzalona,XB-/B1/TT1,"Settled in midfield 4-5Ls back in run, no excuses to bend, dropped out easily to beaten a fair way.",2012-01-01,11
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2012-01-01,12
