Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,10,MISTER MONTE  (A201),H T Mo,CP,"Began well from the widest draw, raced prominently on the outside, 2nd on turn, hit the front 200M, kept on very well to the line and scored.",2022-01-01,1
2,2,LIGHT MY DAY  (C505),B Shinn,B/TT,"Jumped well from gate 13, sent forward to take the lead, travelled comfortably to turn, headed 200M, kept on well to the line, finished 2nd.",2022-01-01,1
3,9,LUCKY MISSILE  (C501),L Ferraris,CP2,"Crowded on jumping, raced 2 wide towards rear, angled out near 700M, very wide into straight, made good progress in the run home to take a place, no threat to the first two.",2022-01-01,1
4,5,SKY GEM  (C251),K Teetan,P,"Jumped with them, raced at rear, 8 lengths or so back, a bit closer on turn, very wide into straight, finished off well to make frame without threatening.",2022-01-01,1
5,1,DAILY CHARM  (D398),K C Leung,B/TT,"Made contact at start, raced 2 wide behind midfield, 3 wide on turn, made some headway in straight.",2022-01-01,1
6,14,WEALTHY EMPLOYEE  (D252),C Wong,B,"Moderately away from gate 1, positioned on rail in midfield, saved ground on turn, no clear run early in straight, cleared near 200M, finished off evenly.",2022-01-01,1
7,12,DIAMOND STAR  (D017),V Borges,E/TT,"Taken back to race towards rear on the inside, saved ground on turn, made some progress early in straight, not enough room 250M, cleared 150M, ran on evenly thereafter.",2022-01-01,1
8,6,LEGEND GOES  (E215),R Maia,B,"Jumped with them, raced slightly behind midfield on the outside, moved a bit closer after passing 1300M, no cover throughout, peaked early in straight, weakened gradually final 100M.",2022-01-01,1
9,11,CENTENARY IBIS  (D163),C L Chau,B/XB/TT,"Began well from a wide draw, sent forward to race prominently, allowed rival to cross near 1000M, positioned 2 wide, 1 to 2 lengths back on turn, angled out 550M, peaked early in straight, weakened gradually final 150M.",2022-01-01,1
10,4,INCREDIBLE  (B477),M L Yeung,TT,"Average to begin, tracked leaders on the inside, saved ground on turn, showed limited response early in straight, weakened gradually final 200M. (See Racing Incidents.) (Blood in trachea.)",2022-01-01,1
11,7,OH BRAVO  (E037),A Badel,TT,"Away with them, raced behind midfield on the inside, 2 wide on turn, no clear running until 100M, one-paced thereafter.",2022-01-01,1
12,3,WONDERFUL FANTASY  (E326),A Hamelin,CP,"Taken back from gate 12, raced 2 wide at rear, found rail near 800M, saved ground on turn, kept on evenly early in straight, weakened final furlong.",2022-01-01,1
13,8,WAH MAY LUCK  (E086),J Moreira,B/TT,"Made contact at start, raced 2 wide slightly better than midfield, awkwardly placed 900M, 3 wide on turn, commenced move near 500M, peaked early in straight, weakened thereafter. (See Racing Incidents.)",2022-01-01,1
14,13,RIGHTEOUS WIN  (D146),M F Poon,V-/B2,"Commenced well, positioned 2w, a length or so back, dropped to midfield in the middle stages, hard ridden 500M but only showed limited response, no clear run in straight, eased final furlong.",2022-01-01,1
1,2,FLYING ACE  (G045),M F Poon,B,"Pushed to secure box seat, kicked away 300M to score.",2022-01-01,2
2,11,LESLIE  (E471),H Bentley,--,"Hard ridden early to keep up at back along the fence, dashed well 300M for 2nd.",2022-01-01,2
3,5,BEAUTY LIVE  (G057),J Moreira,TT1,"Hard ridden early but not muster, at back, 2-4 wide, unleashed strong finishing efforts 250M.",2022-01-01,2
4,14,WISDOM PATCH  (D289),M Chadwick,TT,"At back, trapped 3 wide, little dash 250M.",2022-01-01,2
5,10,FUN N GLORY  (G003),K Teetan,TT,"Pushed early, trapped 3-4 wide in midfield, just held ground.",2022-01-01,2
6,1,TRADER  (E287),B Shinn,B2/TT,"Took rail and lead easily, however soon weakened 300M, post-race vet exam did not show any significant findings.",2022-01-01,2
7,9,E LEGEND  (G028),C L Chau,--,"In front of midfield, 2 wide, ran on fairly in straight.",2022-01-01,2
8,12,BEST FOR YOU  (C223),V Borges,B,"Hard ridden to hold the rail in midfield, no dash.",2022-01-01,2
9,4,FLYING ON THE TURF  (C477),A Hamelin,B/XB,"Pushed early, in front of midfield, throughout the race travelled wide and without cover, weakened 200M.",2022-01-01,2
10,13,NOBLE BOYZ  (E156),M L Yeung,CP/TT,"Pushed forward, sat 2 wide, emptied 300M.",2022-01-01,2
11,8,DASSIT  (G017),A Badel,--,"Eased at start, took cover at rear, 2-5 wide, ran on fairly.",2022-01-01,2
12,3,LUCKY QUALITY  (D050),H N Wong,--,"Hard ridden early, at back, never improved.",2022-01-01,2
13,6,BUDDY SPIRIT  (G048),K C Leung,--,"Bumped start, never competitive.",2022-01-01,2
14,7,COOLCELEB  (C030),H T Mo,B/TT,Never a factor.,2022-01-01,2
1,5,EASON  (G061),J Moreira,TT,"Raced next to the leader, 2 wide, kept on going and won impressively by 1/2L.",2022-01-01,3
2,2,SKY FOREVER  (E414),A Badel,B/TT,"Raced in front of midfield, 2 wide, made ground strongly in the last 100M, never a threat to the winner.",2022-01-01,3
3,11,JOYFUL GENIUS  (E388),L Ferraris,CP1,"Raced in midfield, along the rail after 900M, made ground steadily to the line and scored for 3rd.",2022-01-01,3
4,1,AWESOME TREASURE  (E435),M L Yeung,--,"Sent forward and took lead, along the rail, passing the 1100M became unbalanced of its own accord, weakened after passing 100M.",2022-01-01,3
5,3,MARVEL DRAGON  (D111),K C Leung,TT,"Raced in behind midfield, 2 wide, showed some dash in the Straight only.",2022-01-01,3
6,12,MY INTELLIGENT  (G031),M F Poon,--,"Settled in behind midfield, along the rail, only one paced to the line.",2022-01-01,3
7,6,AMBITIOUS HEART  (V303),B Shinn,B-/TT,"Raced prominently, wide no cover, weakened after passing 100M.",2022-01-01,3
8,9,VALIANT FORTUNE  (G055),M Chadwick,--,"Raced behind the leader, along the rail, found nothing after passing 150M.",2022-01-01,3
9,10,WIN CHARM  (G023),V Borges,TT,"Raced in midfield, 3 wide but with cover, did not feature.",2022-01-01,3
10,14,GOOD SHOT  (C364),K Teetan,H/TT,"Settled in midfield, 2 wide, not competitive in the Straight.",2022-01-01,3
11,13,ACA POWER  (E144),H T Mo,TT1,"At rear, 3 wide but with cover, raced ungenerously in the early stages, nothing in the Straight.",2022-01-01,3
12,8,SUPER HORNET  (G043),C L Chau,TT1,"At rear, 2 wide, showed no progress in the Straight.",2022-01-01,3
13,4,BRIGHT KID  (C060),H W Lai,B/XB,"At rear, 2 wide, never a factor.",2022-01-01,3
14,7,ENDOWED  (G106),A Hamelin,H1,"At rear, along the rail, raced at rear throughout, never a factor.",2022-01-01,3
