Horse,Date,HorseIndex
BRAVE HEART,2010,K277
VISIONARIO,2010,J095
ROYAL PORTRAIT,2010,J092
SMART CHOICE,2010,K368
KINGSTON MARBLE,2010,E244
THUNDER DANCING,2010,G250
PEGASUS SUPREME,2010,L286
MACHO EXPRESSO,2010,H261
INDUSTRIAL MARVEL,2010,G188
CHINA HERO,2010,H040
WIN WIN FELLOWSHIP,2010,L175
TOUT VA BIEN,2010,J020
SING HANG STAR,2010,L270
MIGHTY WINNER,2010,J303
REAL SUPREME,2010,L247
UNITED,2010,K291
SEXY BABY,2010,K328
STORM'S DESTINY,2010,J260
SUPREME COMMANDER,2010,J112
SPICY SHRIMP,2010,L067
HOT ASSET,2010,L060
SUPERIOR WARRIOR,2010,L167
COSMO SUCCESSOR,2010,H118
CHANTILLY,2010,L153
DANEWIN TIGER,2010,L282
FOREVER DESTINY,2010,L312
ROMANCING TAMAR,2010,K176
WAIT FOR ME,2010,E332
CLOVIS,2010,H044
NOBLE TWINS,2010,H257
WINNING PAL,2010,J138
BRAVO HORSE,2010,H312
REDOUTE STAR,2010,K245
OCTAGONAL CANYON,2010,J055
LIVERBIRD,2010,E055
BEAUTIFUL CHOICE,2010,H130
NOBLE DE BEST,2010,J160
BINGO BINGO,2010,L196
FLYING CHINA,2010,K266
MY WHISKY,2010,K071
HORSE SENSE,2010,L314
GOLDEN TREASURE,2010,J087
SUPREME FAY FAY,2010,L185
INVINCIBLE HEART,2010,L071
EASY AHEAD,2010,K212
BLESSING,2010,J337
NORTH HILL,2010,J082
RIBOT LEGEND,2010,K030
PACKING BUDDY,2010,K264
VITALITY EXPRESS,2010,L364
O'REILLY MAGIC,2010,J134
GREEN CASH,2010,L327
HORSESHOE FORTUNE,2010,L098
LUCKY BOY,2010,J296
SHANGHAI PIONEER,2010,L252
LOVE LOCKDOWN,2010,L261
ST DIDAR,2010,L115
MANY GAINS,2010,J051
LUCKY PHOTO FRAME,2010,K273
GRANDWAY FLYER,2010,K302
WISE LOVER,2010,E095
SHINING SPUR,2010,L150
LITTLE BRIDGE,2010,L285
JUN DAO,2010,L110
FAST GO,2010,J181
LONGWAH RISING,2010,J297
HIGH RETURN,2010,K164
INVINCIBLEKINDNESS,2010,K253
HO HAPPY,2010,K286
GRAND STORE,2010,H087
HAWTHORNE,2010,L136
MAGIC TEMPLE,2010,C368
BULLISH KING,2010,L304
PONDEROSA,2010,L165
SUPREME TAIJI,2010,L065
FATBOY SUGAR,2010,L335
JUST CHILL,2010,K221
LUCKY ARMY,2010,L230
FUN RIDER,2010,K231
FLUKE,2010,J061
YOUNG HERO,2010,H071
PRIME TARGET,2010,H242
BEST MILITARY,2010,L007
REGENCY WINNER,2010,K410
UPGRADING,2010,K367
MATSUKAZE,2010,K150
SILVER SUN,2010,E126
JOLLY WONGCHOY,2010,H076
BLEDISLOE,2010,K073
HOME WITH GLORY,2010,L171
ABLE DRAGON,2010,J308
MAKE IT,2010,L139
REWARDING STAR,2010,G234
PROJECT RUNWAY,2010,L302
MASTER TOWER,2010,K012
SAMMY'S FORTUNE,2010,H204
GRAND GENERAL,2010,J113
HEALTHY CONTENDER,2010,J342
SOLAR WONDER,2010,L034
LIGHTNING MOUNT,2010,H082
HUMONGUS,2010,J265
AMITYSHIP,2010,K023
DRAGON BOY,2010,J204
LUCKY AMICI,2010,K177
ACHILLES OF TROY,2010,J190
BRILLIANT ONE,2010,G212
JOYFUL JOYFUL,2010,K284
ASIAN CITRUS,2010,H246
KING OF HEARTS,2010,K214
FUN AND FAST,2010,L177
FRAMES DEPOT,2010,G118
SUPER GENTLEMAN,2010,K365
CLASSA,2010,K267
RECORD HIGH,2010,K202
WINFINDER,2010,J344
MUSTANG,2010,K351
GLITTERING,2010,J343
KING CREOLE,2010,G287
BEL CANTO,2010,K326
LUFENG FORTUNE,2010,J140
SOHNA,2010,G183
GREAT RENOWN,2010,K359
NOBLE FLIER,2010,L142
GALLANT GALLOP,2010,L080
AMAZING VENTURE,2010,J039
WADASURPRISE,2010,K272
SPARKLING FEELING,2010,L047
INDUSTRIAL LEGEND,2010,L186
LUCKY MARBLE,2010,L321
WHITE DRAGON,2010,K401
BLESS US ALL,2010,K086
LEAD THE PROSPECTS,2010,J195
FAIRY DRAGON,2010,L018
WARM EMBRACES,2010,J162
MEDIC FORTUNE,2010,K057
STEEL NERVES,2010,G320
THISTLE SPIRIT,2010,K281
GOLDEN BAUHINIA,2010,K123
MY TIME,2010,J310
WINDICATOR RETURNS,2010,J191
HARRY HARRY,2010,D019
FREE AND EASY,2010,L049
CARS KING PRAWN,2010,K348
FLY HIGH,2010,H126
HAR HAR CHARMS,2010,E100
TEAM WORK,2010,H276
LUCKY FOLLOW ME,2010,L070
MULTIPROUD,2010,L301
ORIENTAL COURSER,2010,K290
RAINBOW SEEKER,2010,K300
SPECTACULAR AWARD,2010,K364
MACASSAR,2010,L382
CHAMPION MOUNT,2010,K087
KENOBE,2010,H222
SUPER CAGA,2010,K054
LUCKY MAGIC,2010,J302
RARE TREASURE,2010,H150
STAR LEGEND,2010,J233
FAIR NAVIGATOR,2010,J254
SHY BALDY,2010,H168
HOT PEPPER,2010,J236
TOP NEWS,2010,K196
WIN THE CASH,2010,L149
CRISTAL MAGNUM,2010,K334
FAST INTENTIONS,2010,L271
PRECISION MAGIC,2010,J262
GILDED FLIGHT,2010,H294
HOLD HANDS,2010,H116
SUPER PLUS,2010,J090
GO FAY FAY,2010,K313
SHOWTIME,2010,K278
