Race Index,Placing,Track/Course,Dist.,Race Class,Going,Horse,Draw,Rtg.,Trainer,Gear,Body Wt.,Act. Wt.,Unnamed: 13,jockey_id,season,race_description,Race Sub Index,race_date,race_course,race_wins,first_place_win,second_place_win,third_place_win
696,1/12,"Turf / ""C""",1200,3,GF,DRAGON FOUR SEAS,5,66,K L Man,B,1191,123,,PZ,Current,21/05/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),1,2025-05-21,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
695,6/12,"Turf / ""C""",1650,3,GF,KING OF FIGHTERS,8,68,A S Cruz,TT,1152,127,,PZ,Current,21/05/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),2,2025-05-21,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
694,2/12,"Turf / ""C""",1200,3,GF,KING MILES,3,65,K W Lui,H1/TT,1123,122,,PZ,Current,21/05/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),3,2025-05-21,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
693,3/12,"Turf / ""C""",1200,4,GF,LOVING VIBES,6,53,K W Lui,,1113,130,,PZ,Current,21/05/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),4,2025-05-21,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
692,9/12,"Turf / ""C""",1000,4,GF,SAVVY TWINKLE,9,48,F C Lor,CP/XB/TT,1092,125,,PZ,Current,21/05/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),5,2025-05-21,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
690,12/12,"Turf / ""C""",1650,4,GF,WRITTEN CASA,7,58,J Richards,B/XB1/TT,1131,133,,PZ,Current,21/05/2025 Happy Valley Jockey Challenge 1 Points :22 (Win 1 2nd 1 3rd 1),6,2025-05-21,Happy Valley Jockey Challenge,(Win 1 2nd 1 3rd 1,1,1,1
687,10/14,"Turf / ""C+3""",1600,3,GF,DEFINITIVE,5,70,D Eustace,B/TT,1090,128,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),1,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
686,7/12,"Turf / ""C+3""",1200,3,GF,PAKISTAN LEGACY,3,71,W Y So,CP/TT,1193,130,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),2,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
685,8/14,"Turf / ""C+3""",1400,4,GF,WITH A SMILE,13,59,W Y So,TT,1179,135,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),3,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
684,11/12,AWT,1200,3,GD,GUMMY GUMMY,4,80,T P Yung,B,1218,135,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),4,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
683,8/12,"Turf / ""C+3""",1200,4,GF,AURORA PATCH,9,60,P C Ng,V/TT1,1174,134,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),5,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
682,2/14,"Turf / ""C+3""",1000,4,GF,FUN ELITE,7,60,T P Yung,TT,1145,135,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),6,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
681,1/14,"Turf / ""C+3""",1800,4,GF,ORIENTAL SMOKE,5,56,D A Hayes,B/TT,1233,132,,PZ,Current,18/05/2025 Sha Tin Jockey Challenge 1 Points :30 (Win 2 2nd 1 3rd 0),7,2025-05-18,Sha Tin Jockey Jockey Challenge,(Win 2 2nd 1 3rd 0,2,1,0
