Date,Course,RaceNumber,ComputedStartTime
2025-01-01,ST,1,12:30:00
2025-01-01,ST,2,13:05:00
2025-01-01,ST,3,13:40:00
2025-01-01,ST,4,14:15:00
2025-01-01,ST,5,14:50:00
2025-01-01,ST,6,15:25:00
2025-01-01,ST,7,16:00:00
2025-01-01,ST,8,16:35:00
2025-01-01,ST,9,17:10:00
2025-01-01,ST,10,17:45:00
2025-01-01,ST,11,18:20:00
2025-01-05,ST,1,13:00:00
2025-01-05,ST,2,13:35:00
2025-01-05,ST,3,14:10:00
2025-01-05,ST,4,14:45:00
2025-01-05,ST,5,15:20:00
2025-01-05,ST,6,15:55:00
2025-01-05,ST,7,16:30:00
2025-01-05,ST,8,17:05:00
2025-01-05,ST,9,17:40:00
2025-01-05,ST,10,18:15:00
2025-01-12,ST,1,13:00:00
2025-01-12,ST,2,13:35:00
2025-01-12,ST,3,14:10:00
2025-01-12,ST,4,14:45:00
2025-01-12,ST,5,15:20:00
2025-01-12,ST,6,15:55:00
2025-01-12,ST,7,16:30:00
2025-01-12,ST,8,17:05:00
2025-01-12,ST,9,17:40:00
2025-01-12,ST,10,18:15:00
2025-01-15,HV,1,18:40:00
2025-01-15,HV,2,19:15:00
2025-01-15,HV,3,19:50:00
2025-01-15,HV,4,20:25:00
2025-01-15,HV,5,21:00:00
2025-01-15,HV,6,21:35:00
2025-01-15,HV,7,22:10:00
2025-01-15,HV,8,22:45:00
2025-01-15,HV,9,23:20:00
2025-01-19,ST,1,12:30:00
2025-01-19,ST,2,13:05:00
2025-01-19,ST,3,13:40:00
2025-01-19,ST,4,14:15:00
2025-01-19,ST,5,14:50:00
2025-01-19,ST,6,15:25:00
2025-01-19,ST,7,16:00:00
2025-01-19,ST,8,16:35:00
2025-01-19,ST,9,17:10:00
2025-01-19,ST,10,17:45:00
2025-01-19,ST,11,18:20:00
2025-01-22,HV,1,18:40:00
2025-01-22,HV,2,19:15:00
2025-01-22,HV,3,19:50:00
2025-01-22,HV,4,20:25:00
2025-01-22,HV,5,21:00:00
2025-01-22,HV,6,21:35:00
2025-01-22,HV,7,22:10:00
2025-01-22,HV,8,22:45:00
2025-01-22,HV,9,23:20:00
2025-01-26,ST,1,12:30:00
2025-01-26,ST,2,13:05:00
2025-01-26,ST,3,13:40:00
2025-01-26,ST,4,14:15:00
2025-01-26,ST,5,14:50:00
2025-01-26,ST,6,15:25:00
2025-01-26,ST,7,16:00:00
2025-01-26,ST,8,16:35:00
2025-01-26,ST,9,17:10:00
2025-01-26,ST,10,17:45:00
2025-01-26,ST,11,18:20:00
2025-01-31,ST,1,12:30:00
2025-01-31,ST,2,13:05:00
2025-01-31,ST,3,13:40:00
2025-01-31,ST,4,14:15:00
2025-01-31,ST,5,14:50:00
2025-01-31,ST,6,15:25:00
2025-01-31,ST,7,16:00:00
2025-01-31,ST,8,16:35:00
2025-01-31,ST,9,17:10:00
2025-01-31,ST,10,17:45:00
2025-01-31,ST,11,18:20:00
2025-02-05,HV,1,18:40:00
2025-02-05,HV,2,19:15:00
2025-02-05,HV,3,19:50:00
2025-02-05,HV,4,20:25:00
2025-02-05,HV,5,21:00:00
2025-02-05,HV,6,21:35:00
2025-02-05,HV,7,22:10:00
2025-02-05,HV,8,22:45:00
2025-02-05,HV,9,23:20:00
2025-02-09,ST,1,12:30:00
2025-02-09,ST,2,13:05:00
2025-02-09,ST,3,13:40:00
2025-02-09,ST,4,14:15:00
