Date,TotalRaceNumber,StartTime
01/01/2025,11,12:30
05/01/2025,10,13:00
08/01/2025,9,18:40
12/01/2025,10,13:00
15/01/2025,9,18:40
19/01/2025,11,12:30
22/01/2025,9,18:40
26/01/2025,11,12:30
31/01/2025,11,12:30
05/02/2025,9,18:40
09/02/2025,11,12:30
12/02/2025,9,18:45
16/02/2025,11,12:30
19/02/2025,9,18:35
23/02/2025,10,13:00
26/02/2025,9,18:40
02/03/2025,10,13:00
05/03/2025,9,18:40
09/03/2025,11,12:30
12/03/2025,9,18:40
15/03/2025,10,13:00
19/03/2025,9,18:35
23/03/2025,10,13:00
26/03/2025,9,18:45
30/03/2025,10,12:45
02/04/2025,9,18:40
06/04/2025,10,12:45
09/04/2025,9,18:40
13/04/2025,11,12:30
16/04/2025,9,18:40
20/04/2025,10,12:45
23/04/2025,9,18:40
27/04/2025,10,12:45
30/04/2025,9,18:40
04/05/2025,11,12:30
07/05/2025,9,18:35
10/05/2025,10,13:00
14/05/2025,9,18:40
18/05/2025,10,12:45
21/05/2025,9,18:40
25/05/2025,11,12:30
28/05/2025,9,18:40
31/05/2025,11,12:30
04/06/2025,9,18:40
08/06/2025,10,16:00
11/06/2025,9,18:40
14/06/2025,11,16:00
22/06/2025,11,16:00
