Date,Course,RaceNumber
01/01/2010,ST,1
01/01/2010,ST,2
01/01/2010,ST,3
01/01/2010,ST,4
01/01/2010,ST,5
01/01/2010,ST,6
01/01/2010,ST,7
01/01/2010,ST,8
01/01/2010,ST,9
01/01/2010,ST,10
01/01/2010,ST,11
06/01/2010,HV,1
06/01/2010,HV,2
06/01/2010,HV,3
06/01/2010,HV,4
06/01/2010,HV,5
06/01/2010,HV,6
06/01/2010,HV,7
06/01/2010,HV,8
10/01/2010,ST,1
10/01/2010,ST,2
10/01/2010,ST,3
10/01/2010,ST,4
10/01/2010,ST,5
10/01/2010,ST,6
10/01/2010,ST,7
10/01/2010,ST,8
10/01/2010,ST,9
10/01/2010,ST,10
13/01/2010,HV,1
13/01/2010,HV,2
13/01/2010,HV,3
13/01/2010,HV,4
13/01/2010,HV,5
13/01/2010,HV,6
13/01/2010,HV,7
13/01/2010,HV,8
16/01/2010,ST,1
16/01/2010,ST,2
16/01/2010,ST,3
16/01/2010,ST,4
16/01/2010,ST,5
16/01/2010,ST,6
16/01/2010,ST,7
16/01/2010,ST,8
16/01/2010,ST,9
16/01/2010,ST,10
20/01/2010,HV,1
20/01/2010,HV,2
20/01/2010,HV,3
20/01/2010,HV,4
20/01/2010,HV,5
20/01/2010,HV,6
20/01/2010,HV,7
20/01/2010,HV,8
24/01/2010,ST,1
24/01/2010,ST,2
24/01/2010,ST,3
24/01/2010,ST,4
24/01/2010,ST,5
24/01/2010,ST,6
24/01/2010,ST,7
24/01/2010,ST,8
24/01/2010,ST,9
24/01/2010,ST,10
27/01/2010,HV,1
27/01/2010,HV,2
27/01/2010,HV,3
27/01/2010,HV,4
27/01/2010,HV,5
27/01/2010,HV,6
27/01/2010,HV,7
27/01/2010,HV,8
31/01/2010,ST,1
31/01/2010,ST,2
31/01/2010,ST,3
31/01/2010,ST,4
31/01/2010,ST,5
31/01/2010,ST,6
31/01/2010,ST,7
31/01/2010,ST,8
31/01/2010,ST,9
31/01/2010,ST,10
03/02/2010,HV,1
03/02/2010,HV,2
03/02/2010,HV,3
03/02/2010,HV,4
03/02/2010,HV,5
03/02/2010,HV,6
03/02/2010,HV,7
03/02/2010,HV,8
07/02/2010,ST,1
07/02/2010,ST,2
07/02/2010,ST,3
07/02/2010,ST,4
07/02/2010,ST,5
07/02/2010,ST,6
07/02/2010,ST,7
07/02/2010,ST,8
07/02/2010,ST,9
07/02/2010,ST,10
10/02/2010,HV,1
10/02/2010,HV,2
10/02/2010,HV,3
10/02/2010,HV,4
10/02/2010,HV,5
10/02/2010,HV,6
10/02/2010,HV,7
10/02/2010,HV,8
16/02/2010,ST,1
16/02/2010,ST,2
16/02/2010,ST,3
16/02/2010,ST,4
16/02/2010,ST,5
16/02/2010,ST,6
16/02/2010,ST,7
16/02/2010,ST,8
16/02/2010,ST,9
16/02/2010,ST,10
16/02/2010,ST,11
21/02/2010,ST,1
21/02/2010,ST,2
21/02/2010,ST,3
21/02/2010,ST,4
21/02/2010,ST,5
21/02/2010,ST,6
21/02/2010,ST,7
21/02/2010,ST,8
21/02/2010,ST,9
21/02/2010,ST,10
21/02/2010,ST,11
24/02/2010,HV,1
24/02/2010,HV,2
24/02/2010,HV,3
24/02/2010,HV,4
24/02/2010,HV,5
24/02/2010,HV,6
24/02/2010,HV,7
24/02/2010,HV,8
28/02/2010,ST,1
28/02/2010,ST,2
28/02/2010,ST,3
28/02/2010,ST,4
28/02/2010,ST,5
28/02/2010,ST,6
28/02/2010,ST,7
28/02/2010,ST,8
28/02/2010,ST,9
28/02/2010,ST,10
03/03/2010,HV,1
03/03/2010,HV,2
03/03/2010,HV,3
03/03/2010,HV,4
03/03/2010,HV,5
03/03/2010,HV,6
03/03/2010,HV,7
03/03/2010,HV,8
06/03/2010,ST,1
06/03/2010,ST,2
06/03/2010,ST,3
06/03/2010,ST,4
06/03/2010,ST,5
06/03/2010,ST,6
06/03/2010,ST,7
06/03/2010,ST,8
06/03/2010,ST,9
06/03/2010,ST,10
10/03/2010,HV,1
10/03/2010,HV,2
10/03/2010,HV,3
10/03/2010,HV,4
10/03/2010,HV,5
10/03/2010,HV,6
10/03/2010,HV,7
10/03/2010,HV,8
14/03/2010,ST,1
14/03/2010,ST,2
14/03/2010,ST,3
14/03/2010,ST,4
14/03/2010,ST,5
14/03/2010,ST,6
14/03/2010,ST,7
14/03/2010,ST,8
14/03/2010,ST,9
14/03/2010,ST,10
17/03/2010,HV,1
17/03/2010,HV,2
17/03/2010,HV,3
17/03/2010,HV,4
17/03/2010,HV,5
17/03/2010,HV,6
17/03/2010,HV,7
17/03/2010,HV,8
21/03/2010,ST,1
21/03/2010,ST,2
21/03/2010,ST,3
21/03/2010,ST,4
21/03/2010,ST,5
21/03/2010,ST,6
21/03/2010,ST,7
21/03/2010,ST,8
21/03/2010,ST,9
21/03/2010,ST,10
24/03/2010,ST,1
24/03/2010,ST,2
24/03/2010,ST,3
24/03/2010,ST,4
24/03/2010,ST,5
24/03/2010,ST,6
24/03/2010,ST,7
24/03/2010,ST,8
28/03/2010,ST,1
28/03/2010,ST,2
28/03/2010,ST,3
28/03/2010,ST,4
28/03/2010,ST,5
28/03/2010,ST,6
28/03/2010,ST,7
28/03/2010,ST,8
28/03/2010,ST,9
28/03/2010,ST,10
31/03/2010,HV,1
31/03/2010,HV,2
31/03/2010,HV,3
31/03/2010,HV,4
31/03/2010,HV,5
31/03/2010,HV,6
31/03/2010,HV,7
31/03/2010,HV,8
04/04/2010,ST,1
04/04/2010,ST,2
04/04/2010,ST,3
04/04/2010,ST,4
04/04/2010,ST,5
04/04/2010,ST,6
04/04/2010,ST,7
04/04/2010,ST,8
04/04/2010,ST,9
04/04/2010,ST,10
07/04/2010,HV,1
07/04/2010,HV,2
07/04/2010,HV,3
07/04/2010,HV,4
07/04/2010,HV,5
07/04/2010,HV,6
07/04/2010,HV,7
07/04/2010,HV,8
10/04/2010,ST,1
10/04/2010,ST,2
10/04/2010,ST,3
10/04/2010,ST,4
10/04/2010,ST,5
10/04/2010,ST,6
10/04/2010,ST,7
10/04/2010,ST,8
10/04/2010,ST,9
10/04/2010,ST,10
18/04/2010,HV,1
18/04/2010,HV,2
18/04/2010,HV,3
18/04/2010,HV,4
18/04/2010,HV,5
18/04/2010,HV,6
18/04/2010,HV,7
18/04/2010,HV,8
18/04/2010,HV,9
18/04/2010,HV,10
21/04/2010,HV,1
21/04/2010,HV,2
21/04/2010,HV,3
21/04/2010,HV,4
21/04/2010,HV,5
21/04/2010,HV,6
21/04/2010,HV,7
21/04/2010,HV,8
25/04/2010,ST,1
25/04/2010,ST,2
25/04/2010,ST,3
25/04/2010,ST,4
25/04/2010,ST,5
25/04/2010,ST,6
25/04/2010,ST,7
25/04/2010,ST,8
25/04/2010,ST,9
25/04/2010,ST,10
28/04/2010,HV,1
28/04/2010,HV,2
28/04/2010,HV,3
28/04/2010,HV,4
28/04/2010,HV,5
28/04/2010,HV,6
28/04/2010,HV,7
28/04/2010,HV,8
01/05/2010,ST,1
01/05/2010,ST,2
01/05/2010,ST,3
01/05/2010,ST,4
01/05/2010,ST,5
01/05/2010,ST,6
01/05/2010,ST,7
01/05/2010,ST,8
01/05/2010,ST,9
01/05/2010,ST,10
01/05/2010,ST,11
05/05/2010,ST,1
05/05/2010,ST,2
05/05/2010,ST,3
05/05/2010,ST,4
05/05/2010,ST,5
05/05/2010,ST,6
05/05/2010,ST,7
05/05/2010,ST,8
08/05/2010,ST,1
08/05/2010,ST,2
08/05/2010,ST,3
08/05/2010,ST,4
08/05/2010,ST,5
08/05/2010,ST,6
08/05/2010,ST,7
08/05/2010,ST,8
08/05/2010,ST,9
08/05/2010,ST,10
12/05/2010,HV,1
12/05/2010,HV,2
12/05/2010,HV,3
12/05/2010,HV,4
12/05/2010,HV,5
12/05/2010,HV,6
12/05/2010,HV,7
12/05/2010,HV,8
16/05/2010,ST,1
16/05/2010,ST,2
16/05/2010,ST,3
16/05/2010,ST,4
16/05/2010,ST,5
16/05/2010,ST,6
16/05/2010,ST,7
16/05/2010,ST,8
16/05/2010,ST,9
16/05/2010,ST,10
16/05/2010,ST,11
19/05/2010,HV,1
19/05/2010,HV,2
19/05/2010,HV,3
19/05/2010,HV,4
19/05/2010,HV,5
19/05/2010,HV,6
19/05/2010,HV,7
19/05/2010,HV,8
23/05/2010,ST,1
23/05/2010,ST,2
23/05/2010,ST,3
