Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,6.0,IRON BOY (V071),K Teetan,D J Whyte,127,1158,3,-,7 3 1,1:10.12,7.5,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
2,8.0,SPEEDY DRAGON (B185),Z Purton,D J Hall,126,1081,11,N,10 9 2,1:10.19,17,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
3,4.0,COLONEL (D090),T Piccone,P F Yiu,127,1149,2,3/4,4 2 3,1:10.23,9.2,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
4,11.0,NICE KICK (B002),S De Sousa,J Size,123,1122,5,2-1/4,9 8 4,1:10.49,9.1,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
5,5.0,DUBLIN STAR (C436),J Moreira,K L Man,127,1225,7,2-3/4,2 5 5,1:10.57,1.6,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
6,7.0,MISSION SMART (C519),M L Yeung,T P Yung,127,1098,8,3-1/4,11 11 6,1:10.62,27,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
7,10.0,UNITED WE STAND (D048),A Badel,C S Shum,125,1192,1,3-1/2,1 1 7,1:10.69,21,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
8,12.0,WONDER WIN (C418),T H So,L Ho,116,1054,4,3-3/4,8 10 8,1:10.70,226,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
9,9.0,EL JEFE (C466),N Callan,C H Yip,125,1083,6,3-3/4,5 7 9,1:10.73,15,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
10,2.0,SKY TREASURE (V401),K C Leung,Y S Tsui,129,1090,12,5-3/4,6 6 10,1:11.05,39,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
11,3.0,JIANGXI STAMINA (D051),C Schofield,W Y So,127,1204,10,7-1/2,12 12 11,1:11.30,75,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
12,1.0,HARBOUR ALERT (T254),M F Poon,C W Chang,127,1307,9,18-1/2,3 4 12,1:13.07,77,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
WV,,BRAVE POWER (D153),C Y Ho,A S Cruz,127,---,---,---,---,---,---,2020/01/01,ST,1,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""C"" Course",23.88,46.41,1:10.12,,,,23.88,22.53,23.71,nan,nan,nan
1,10.0,MCMUNIGAL (B335),H N Wong,D J Hall,116,1033,10,-,1 2 2 2 1,1:48.55,147,2020/01/01,ST,2,Class 5,1800M,40-0,GOOD,1.0,"TURF - ""C"" Course",14.15,36.91,1:00.81,1:24.68,1:48.55,,14.15,22.76,23.90,23.87,23.87,nan
2,8.0,VICTORIOUS SEEKER (C091),K C Leung,P O'Sullivan,125,1094,7,1-1/4,3 3 3 3 2,1:48.77,8.2,2020/01/01,ST,2,Class 5,1800M,40-0,GOOD,1.0,"TURF - ""C"" Course",14.15,36.91,1:00.81,1:24.68,1:48.55,,14.15,22.76,23.90,23.87,23.87,nan
3,1.0,AMAZING AGILITY (V192),G van Niekerk,L Ho,128,1005,5,1-3/4,5 5 6 5 3,1:48.83,3.6,2020/01/01,ST,2,Class 5,1800M,40-0,GOOD,1.0,"TURF - ""C"" Course",14.15,36.91,1:00.81,1:24.68,1:48.55,,14.15,22.76,23.90,23.87,23.87,nan
4,12.0,WICKER (B425),K Teetan,R Gibson,118,1139,4,2-3/4,11 9 8 6 4,1:48.98,4.8,2020/01/01,ST,2,Class 5,1800M,40-0,GOOD,1.0,"TURF - ""C"" Course",14.15,36.91,1:00.81,1:24.68,1:48.55,,14.15,22.76,23.90,23.87,23.87,nan
5,6.0,REEVE'S MUNTJAC (C174),J Moreira,C H Yip,125,1184,1,3-1/2,7 6 4 4 5,1:49.09,6.6,2020/01/01,ST,2,Class 5,1800M,40-0,GOOD,1.0,"TURF - ""C"" Course",14.15,36.91,1:00.81,1:24.68,1:48.55,,14.15,22.76,23.90,23.87,23.87,nan
6,4.0,GOLDEN KID (V232),C Y Ho,K W Lui,128,1086,11,3-1/2,10 10 11 7 6,1:49.11,10,2020/01/01,ST,2,Class 5,1800M,40-0,GOOD,1.0,"TURF - ""C"" Course",14.15,36.91,1:00.81,1:24.68,1:48.55,,14.15,22.76,23.90,23.87,23.87,nan
