Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 8 (443),RACE 8 (443).1,RACE 8 (443).2,RACE 8 (443).3,RACE 8 (443).4,RACE 8 (443).5,RACE 8 (443).6,RACE 8 (443).7,RACE 8 (443).8,RACE 8 (443).9,RACE 8 (443).10,RACE 8 (443).11,RACE 8 (443).12,RACE 8 (443).13,RACE 8 (443).14,RACE 8 (443).15,Unnamed: 16,Unnamed: 17,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 9 (0),RACE 9 (0).1,RACE 9 (0).2,RACE 9 (0).3,RACE 9 (0).4,RACE 9 (0).5,RACE 9 (0).6,RACE 9 (0).7,RACE 9 (0).8,RACE 9 (0).9,RACE 9 (0).10,RACE 9 (0).11,RACE 9 (0).12,RACE 9 (0).13,RACE 9 (0).14,RACE 9 (0).15,RACE 10 (0),RACE 10 (0).1,RACE 10 (0).2,RACE 10 (0).3,RACE 10 (0).4,RACE 10 (0).5,RACE 10 (0).6,RACE 10 (0).7,RACE 10 (0).8,RACE 10 (0).9,RACE 10 (0).10,RACE 10 (0).11,RACE 10 (0).12,RACE 10 (0).13,RACE 10 (0).14,RACE 10 (0).15
1,3.0,JIANGXI STAMINA (D051),C Y Ho,W Y So,134.0,1224,2,-,9 10 7 1,1:22.42,4.8,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,DAZZLING FELLOW (G058),Z Purton,D J Hall,135.0,1175,6,2-3/4,8 8 8 2,1:22.84,4.3,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13.0,RUN RUN GOOD (D310),K Teetan,K L Man,121.0,1187,4,3-3/4,10 11 12 3,1:23.02,13.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.0,ONE STEP AHEAD (C242),L Currie,C W Chang,125.0,1015,7,4,12 12 10 4,1:23.05,21.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.0,EMBARKED (E407),S De Sousa,J Richards,127.0,1095,1,5,6 6 4 5,1:23.23,3.7,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,FOXHUNTER WAY (E296),A Hamelin,K W Lui,123.0,1054,10,5-1/4,7 7 6 6,1:23.28,36.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.0,QUORUM (G005),R Maia,R Gibson,128.0,1262,8,6-1/4,11 9 9 7,1:23.41,28.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.0,BUDDY SPIRIT (G048),H Bentley,C H Yip,124.0,1198,5,7-1/4,13 13 14 8,1:23.58,38.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.0,U W BROTHER (C389),H Bowman,Y S Tsui,128.0,1178,14,9-1/4,3 3 3 9,1:23.91,6.3,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.0,KARUIZAWA (G293),H N Wong,C S Shum,131.0,966,9,9-1/4,5 4 5 10,1:23.92,197.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9.0,FELIX THE KING (E340),M L Yeung,C W Chang,125.0,1160,11,10-1/4,14 14 13 11,1:24.06,39.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14.0,SURE WINNER (D488),H T Mo,Y S Tsui,113.0,1039,12,12-3/4,1 2 1 12,1:24.45,143.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.0,DIAMOND SOARS (G201),K C Leung,P F Yiu,135.0,1175,3,20-1/4,2 1 2 13,1:25.68,11.0,2023/01/01,ST,1,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""C"" Course",13.28,34.36,57.83,1:22.42,,,13.28,21.08,23.47,24.59,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
