Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,"('Dividend', 'Pool')","('Dividend', 'Winning Combination')","('Dividend', 'Dividend (HK$)')","('Date', '')","('Course', '')","('RaceNumber', '')"
1,1.0,EIGHTY LIGHT YEARS (H170),E C W Wong,T P Yung,125.0,1266,1,-,2 1 1,1:09.80,2.3,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
2,13.0,CHAMPION INSTINCT (H012),A Atzeni,D J Hall,120.0,1180,6,1-1/2,9 8 2,1:10.02,8.3,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
3,4.0,HANDSOME BOMB (H402),J McDonald,W Y So,129.0,1041,5,2-1/4,7 6 3,1:10.16,23.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
4,6.0,PANDA (H466),K Teetan,C H Yip,129.0,1070,3,2-3/4,5 3 4,1:10.23,7.5,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
5,8.0,PATCH OF TIME (H483),Z Purton,K H Ting,128.0,1152,8,3,10 9 5,1:10.26,14.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
6,3.0,GOLDEN LUCK (H159),H Bowman,K L Man,129.0,1104,7,3,6 5 6,1:10.29,14.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
7,9.0,GANGNAM STAR (H326),M Chadwick,P C Ng,127.0,1090,9,4,11 11 7,1:10.44,21.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
8,2.0,CALIFORNIA ICON (H404),A Badel,A S Cruz,129.0,1150,11,4-1/2,13 12 8,1:10.51,53.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
9,10.0,JOYFUL LIFE (H426),K C Leung,P F Yiu,127.0,1106,12,5-1/2,1 2 9,1:10.69,8.6,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
10,12.0,THE GOOD DEAL (G025),L Ferraris,D J Whyte,122.0,1128,2,5-3/4,8 10 10,1:10.72,21.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
