HorseName,HorseIndex,Country,Age,Colour,Sex,Import Type,Season Stakes,Total Stakes,No. of 1-2-3-Starts,No. of starts in past 10 race meetings,Current Stable Location (Arrival Date),Import Date,Trainer,Owner,Current Rating,Start of Season Rating,Sire,Dam,Dam's Sire,Same Sire,PP Pre-import races footage,Last Rating
AURORA LADY,J066,AUS,4,Bay,Gelding,PPG,"5,877,170","6,257,420",4-3-2-15,1,Hong Kong (23/05/2024),31/07/2023,P C Ng,Alexander Leung Ho Yin,90,53,Star Witness,Cool Snitzel,Snitzel,BRAVE WITNESS|BRIGHT INHERITANCE|GALAXY WITNESS|GLORIOUS SUCCESS|MANYTHANKS FOREVER|SUPER INFINITY|YOUNG HORIZON,0,
AWESOME FLUKE,J050,AUS,5,Bay,Gelding,PP,"892,700","5,466,350",2-0-5-16,0,Conghua (18/04/2025),31/07/2023,P F Yiu,Lam Fuk Tak,81,80,Awesome Rock,Jayquin Star,O'Reilly,,1,
ATULLIBIGEAL,G173,AUS,6,Bay,Gelding,PP,0,"10,571,525",4-3-3-37,2,Hong Kong (08/05/2025),13/09/2021,D J Hall,Zeng Shuida & Ma Yi,79,95,Street Boss,Kellys Ocean Jewel,Dansili,KING OF FIGHTERS|LOVEISINTHEAIR|LUNAR DASH|SPARKLING FELLOW|STURDY RUBY,1,
ANODE,K367,AUS,3,Bay,Colt,PP,0,0,0-0-0-2,2,Hong Kong (07/01/2025),07/01/2025,C S Shum,Edmond Siu Kim Ping,76,78,I Am Invincible,Mysterious Light,Fantastic Light,K513|K523|CALL ME SUCCESS|CHAMPION METHOD|HEART INVINCIBLE|INVINCIBLE SHIELD|MAJESTIC EXPRESS|MARKWIN|MASTER CHAMPION|MOJAVE DESERT|MR BOLT|PATCH OF WATCH|SERGEANT PEPPER|THUNDER PRINCE,0,
A AMERIC TE SPECSO,H037,NZ,6,Bay,Gelding,PPG,"3,009,450","7,880,100",6-2-5-38,2,Hong Kong (31/05/2025),05/07/2022,J Size,Chan Yee Lap,73,69,Per Incanto,Island Time,Al Akbar,K546|AEROINVINCIBLE|BABY CRYSTAL|BRILLIANT PATCH|CAMP FIRE|CAN'T GO WONG|CIRCUIT VICTORY|EN PERFECTO|GOLDEN LUCK|HEALTHY HEALTHY|INCANTO STAR|LUCKY FIONN|MONARCH COUNTY|PEJIBAYE|POSITIVE SMILE|POWER SUMMIT|RAGING BLIZZARD|RAINBOW SEVEN|REGENCY DREAM|THE ALL ROUNDER|THE PRIME|THE PROMISE|WAVE GARDEN|WOOD ON FIRE|YOUNG LEGACY,0,
AERIS NOVA,J534,AUS,4,Bay,Colt,PP,"3,267,000","3,267,000",1-0-2-11,2,Hong Kong (24/06/2024),24/06/2024,T P Yung,Tai Woon Shing,73,72,Justify,Fine Scent,All Too Hard,BRILLIANT FIRE|FANTASTIC FUN|JUSTIFY YOURSELF|JUSTIFYING|LEATHER GOODS|MASK RIDER|MEGA FORCE|MILES AWAY|MR JUSTICE|NEW FOREST|PRAY FOR JUSTICE|PRAY FOR MIR|ROMANTIC THOR,0,
AESTHETICISM,H289,NZ,5,Bay,Gelding,PPG,"2,660,900","5,878,950",4-3-5-29,1,Hong Kong (19/09/2024),19/12/2022,P C Ng,Clement Cheng Ka Man,73,65,Derryn,La Petite,Savabeel,K539|FAMILY FORTUNE|FLASH CURRENT|TARGET AUDIENCE|VIEW OF THE WORLD,0,
ANOTHER WORLD,K005,AUS,4,Bay,Gelding,PPG,"3,201,550","3,201,550",3-1-1-9,1,Hong Kong (22/03/2025),06/06/2024,T P Yung,Jackson So Hoi Wing,73,52,Kermadec,Our Squeezer,Redoute's Choice,AMAZING AWARD|MIDORI FUJI|SUPER HONG KONG,0,
AGENDA,K160,IRE,4,Bay,Gelding,PP,"82,000","82,000",0-0-0-5,2,Conghua (30/05/2025),07/09/2024,D J Hall,Albert Hung Chao Hong & Stephanie Hung Yujie,70,78,Galileo,Different League,Dabirsim,IVY LEAGUE|S J TOURBILLON,0,
ARMOUR WAR EAGLE,J039,NZ,5,Brown,Gelding,PP,"2,752,800","3,208,500",1-4-2-15,0,Hong Kong (31/05/2025),27/07/2023,M Newnham,Johnny Shih Jar Yi,70,61,War Decree,Enthusabelle,Savabeel,CARRYON SMILING|DECRELOT|DEFINITIVE|FIGHTING MACHINE|JUBILATION FOR ALL|JUDY'S GREAT,1,
