Letter,HorseName,Rating,URL
A,AURORA LADY,90,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J066
A,ATULLIBIGEAL,81,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G173
A,AWESOME FLUKE,81,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J050
A,ANODE,78,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K367
A,A AMERIC TE SPECSO,73,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H037
A,AERIS NOVA,73,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J534
A,AESTHETICISM,73,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H289
A,ANOTHER WORLD,73,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K005
A,AGENDA,72,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K160
A,ARMOUR WAR EAGLE,70,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J039
A,ARIEL,68,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G223
A,AHREN,66,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K183
A,ACE CHAMPION,65,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K379
A,ALL TOO BRAVE,65,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K493
A,A TIME FOR US,65,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K475
A,ABSOLUTE HONOUR,64,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K260
A,ALLCASH,64,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K190
A,ANOTHER ZONDA,64,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K176
A,AKASHVANI,63,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K234
A,ALL ROUND WINNER,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K382
A,ALSONSO,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J405
A,AUTOMATED,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K177
A,AWESOME TREASURE,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E435
A,AEROINVINCIBLE,58,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J180
A,AMAZING FUN,58,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H442
A,AURIO,58,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K056
A,AURORA PATCH,58,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K097
A,ALLURING LAOS,55,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J478
A,AMAZING VICTORY,55,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G123
A,ACROSS DA UNIVERSE,54,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J328
A,AMAZING AWARD,54,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J236
A,AUTUMN VIBES,53,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K150
A,ABSOLUTE AWAKENED,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K039
A,ABSOLUTE LUCKY,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K070
A,ACA FAST,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K467
A,ACTIVE SOLAR,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K504
A,AEROVOLANIC,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K400
A,A LA CHAMP,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K179
A,AMAZING GAZE,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K444
A,AMAZING KID,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K434
A,ARGENTO OCEAN,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K322
A,AUDACIOUS PURSUIT,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K398
A,ACE,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K307
A,ALL'S WELL,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K294
A,AMAZING DUCK,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H392
A,ANGELIC,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J336
A,APPEALING CITY,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J491
A,ACE POWER,46,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J181
A,ACE WAR,45,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J509
A,AMAZING GALAXY,45,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J238
A,AMAZING RUN,45,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H401
A,ALWAYS MY FOLKS,44,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J345
A,ARDEN,44,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J505
A,AUTUMN DELIGHT,44,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J090
A,ATOMIC BEAUTY,43,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H066
A,ALWAYS FLUKE,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H252
A,ALL ARE MINE,40,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H293
A,ARTHUR'S KINGDOM,39,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E194
A,ACCOLADE START,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H331
A,ALL EYES ON ME,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J453
A,APOLAR FIGHTER,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J169
A,ACE TALENT,30,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H046
A,ALMIGHTY KICK,27,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J254
A,ALABAMA SONG,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K480
A,AMO ERGO SUM,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K394
