Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,6.0,DRAGON CHOICE (CL338),J Lloyd,C W Chang,129,1128,13,-,5 1 1 1,1:23.75,30,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
2,3.0,ALP'S GLORY (CL433),D Beadman,C S Shum,131,1102,6,NOSE,6 6 5 2,1:23.76,4.5,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
3,7.0,GENERAL DANROAD (CL020),M Barzalona,K W Lui,129,1133,5,3/4,10 11 11 3,1:23.88,12,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
4,2.0,KING OF FISH II (CL264),D Whyte,K L Man,132,1095,4,1-1/2,3 5 4 4,1:24.00,7.4,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
5,12.0,DUKE'S VICTORY (CL262),M Guyon,D Cruz,119,1152,12,1-1/2,12 12 13 5,1:24.01,20,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
6,10.0,MASTER DRAGON (CL137),C Y Ho,B K Ng,120,1035,1,1-1/2,4 4 6 6,1:24.01,7,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
7,14.0,GOOD JOB (CL113),T Clark,D E Ferraris,116,1094,11,1-3/4,13 13 12 7,1:24.02,14,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
8,5.0,DR UNION (CK105),W M Lai,T K Ng,127,1077,2,3,7 7 7 8,1:24.22,7.8,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
9,4.0,SPEEDY (CJ037),Y T Cheng,T W Leung,129,1150,3,3-1/4,1 2 3 9,1:24.29,15,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
10,1.0,M'S MAGIC (M079),Z Purton,P O'Sullivan,133,1172,7,4-1/4,2 3 2 10,1:24.43,11,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
11,13.0,POLYMER POWER (CL417),H W Lai,P F Yiu,116,1082,8,4-1/2,8 9 9 11,1:24.47,9.2,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
12,11.0,FAIRY BOY (CL377),O Doleuze,R Gibson,124,1097,9,9,9 10 10 12,1:25.19,22,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
13,9.0,HEXAGON (CL121),T Angland,A Lee,127,1038,10,15-1/2,11 8 8 13,1:26.22,22,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
WV,8.0,PASSIONATE (CL356),T H So,L Ho,124,---,---,---,---,---,---,2012/01/01,ST,1,Class 5,1400M,40-20,GOOD,"TURF - ""A+3"" Course",13.62,35.42,59.44,1:23.75,,,13.62,21.80,24.02,24.31,nan,nan
1,6.0,RAIN OF THUNDER (CJ352),K C Leung,P O'Sullivan,123,1075,2,-,11 12 12 9 1,1:50.04,3.3,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
2,3.0,SUNNY SKY (CL215),D Beadman,C S Shum,132,1131,9,3/4,7 8 6 5 2,1:50.16,7.2,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
3,11.0,KING GALILEO (CL028),T Clark,A Schutz,116,1101,4,1-1/4,14 14 14 8 3,1:50.25,8.9,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
4,12.0,ROCKET AND GOLD (CH015),Y T Cheng,C H Yip,114,1124,5,3,8 11 13 11 4,1:50.50,10,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
5,9.0,GORGEOUS RULER (CK403),N Callan,D E Ferraris,119,1068,8,3-1/2,5 7 7 6 5,1:50.58,11,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
6,14.0,MR SPEEDY (M183),H W Lai,B K Ng,111,1058,11,3-1/2,4 1 1 1 6,1:50.62,23,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
7,7.0,WADASURPRISE (CK272),Z Purton,T K Ng,124,1040,3,4,9 10 9 7 7,1:50.68,13,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
8,10.0,FOREST FOUNTAIN (CJ047),J Lloyd,A Lee,116,1023,1,6-1/4,13 13 11 10 8,1:51.05,10,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
9,5.0,GRANDWAY FLYER (CK302),D Whyte,T W Leung,121,1048,10,6-3/4,2 4 3 4 9,1:51.13,20,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
10,2.0,PAPAS (CK274),M Guyon,P F Yiu,132,1168,6,7-3/4,3 5 5 3 10,1:51.29,24,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
11,1.0,BEST NOODLE (CJ278),G Mosse,L Ho,133,1113,14,9-1/4,12 9 10 12 11,1:51.53,27,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
12,4.0,BROTHERS IN ARMS (CJ070),M Barzalona,S Woods,130,1160,7,15-1/2,1 2 2 2 12,1:52.52,18,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
13,8.0,NOBLE FLIER (CL142),C Y Ho,D Cruz,116,1163,13,37-1/2,10 6 8 13 13,1:56.02,18,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
14,13.0,JUST GOOD (CL133),M L Yeung,Y S Tsui,110,1086,12,68-1/2,6 3 4 14 14,2:00.99,31,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
WV,,GREEN GLORY (CJ177),M Chadwick,A S Cruz,125,---,---,---,---,---,---,2012/01/01,ST,2,Class 5,1800M,40-10,GOOD,"TURF - ""A+3"" Course",13.88,36.24,1:00.35,1:25.40,1:50.04,,13.88,22.36,24.11,25.05,24.64,nan
1,5.0,SIMPLE (N021),D Whyte,C H Yip,125,1125,12,-,11 8 1,1:10.42,32.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
2,2.0,BEAUTY KING (N028),G Mosse,R Gibson,127,1045,1,1-3/4,4 4 2,1:10.68,2.5,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
3,1.0,IMPECCABLE (CL383),K C Ng,P F Yiu,123,1072,13,2,2 2 3,1:10.75,13.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
4,13.0,EXCELLENT WIN (CL234),T H So,B K Ng,110,1031,5,3,3 6 4,1:10.91,11.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
5,4.0,BLESSING WIN (N131),T Angland,K L Man,125,1050,4,4,8 9 5,1:11.07,5.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
6,12.0,TOP DRAGON (CK342),C W Wong,Y S Tsui,116,1111,10,4,12 12 6,1:11.08,80.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
7,14.0,MY MELODY (CJ157),G Cheyne,C S Shum,115,1234,7,4-1/4,9 5 7,1:11.08,31.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
8,3.0,SOLAR BOY (CL213),Y T Cheng,L Ho,124,1065,3,4-3/4,1 1 8,1:11.17,10.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
9,6.0,SUN SPEEDY (N050),B Prebble,C Fownes,125,1115,11,4-3/4,10 11 9,1:11.19,14.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
10,7.0,THANKSGIVING (M350),D Beadman,J Moore,123,1100,8,5-1/4,7 10 10,1:11.25,11.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
11,8.0,TANG PALACE (M316),M Chadwick,A S Cruz,119,1187,2,6-1/2,6 7 11,1:11.45,12.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
12,11.0,LUCKY SUPREME (M093),T Clark,A T Millard,119,1148,14,7-1/2,14 13 12,1:11.60,99.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
13,10.0,DRAGONFIELD (M042),C Y Ho,D Cruz,114,1050,6,8-1/4,5 3 13,1:11.72,26.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
14,9.0,KIMBER FORTUNE (CK162),H W Lai,K W Lui,118,1089,9,13-1/2,13 14 14,1:12.57,99.0,2012/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""A+3"" Course",23.80,46.86,1:10.42,,,,23.80,23.06,23.56,nan,nan,nan
1,1.0,GAMEKEEPERS (M357),D Whyte,J Size,133,1117,1,-,2 1 1,1:10.79,4.4,2012/01/01,ST,4,Class 4,1200M,65-40,GOOD,"TURF - ""A+3"" Course",24.19,48.07,1:10.79,,,,24.19,23.88,22.72,nan,nan,nan
