Date,Course,RaceNumber
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,1
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,2
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,3
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,4
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,5
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,6
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,7
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,8
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,9
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,10
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/01,ST,11
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,1
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,2
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,3
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,4
2017/01/04,HV,5
